,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Годинанареновирање,Адреса
2077,130000€,42.009423,20.971549,7,130m²,3спрата,Друго,580m²,Двo-семејнакуќа,Реновирана,Наместен,5Балкони,2,Да,Гаража+2Паркингместа,Запад,1990,2017,AceMiladinovski152Nr47
2078,210000€,42.0273491147895,21.3882816433089,7,250m²,2спрата,Друго,350m²,Еднасемејнакуќа-Самостојна,Нова,Празен,Тераса+4Балкони,2,Не,Повеќеод4паркингместа,Југоисток,2005,,ул2број135;Бардовци;Скопје
2079,1€,42.205478,22.333429,9,360m²,3спрата,Централно,320m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,4Балкони,3,Да,Гаража+2Паркингместа,Југ,2012,,nasMezovskilivadiKrPalanka
2080,19500€,42.00877,21.45126,1,38m²,Приземје,Нема,152m²,Дуплекс-Лепенакуќа,Стара,Празен,Нема,1,Не,Нема,Југозапад,,,БлагојаСтефковски
2081,По договор,41.346182,21.553379,7,480m²,2спрата,Нема,480m²,Останато,Стара,Празен,2Балкони,2,Да,2Паркингместа,Југ,1960,1960,Lenin52
2082,240000€,42.009423,20.971549,12,300m²,3спрата,Друго,400m²,Мултисемејнакуќа,Нова,Наместен,4Балкони,4,Да,Гаража+Повеќеод4паркингместа,Југоисток,,,
2083,1€,41.745515,22.19396,7,165m²,3спрата,Дрва,120m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,4,Да,Нема,Југоисток,1964,2015,Astibo15
2084,1€,41.715954,21.770997,5,140m²,2спрата,Нема,265m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Да,1Паркинг,Исток,1959,,ulOliverKitanovskibr28Veles
2085,50000€,41.9870695865131,21.4519291484375,35,150m²,2спрата,Струја,500m²,Двo-семејнакуќа,Стара,Наместен,3Балкони,2,Да,3Паркингместа,Запад,1990,2005,Volkovo
2086,По договор,42.132926,21.715878,6,400m²,2спрата,Нема,400m²,Останато,Стара,Празен,Нема,Повеќеод4,Да,Гаража+4Паркингместа,Север,,,perotosev18
2087,100000€,41.991502,21.39781,4,80m²,Приземје,Струја,200m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Не,1Паркинг,Исток,1988,2013,Mramorec
2088,12000€,41.346182,21.553379,2,56m²,1спрат,Дрва,20m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Да,1Паркинг,Запад,,,MiceKozar94
2089,По договор,41.111733,20.798579,6,300m²,2спрата,Нема,600m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,Повеќеод4,Да,2Паркингместа,Исток,2009,2010,Orovnik-Ohrid
2090,1€,41.9870695865131,21.4519291484375,10,300m²,2спрата,Дрва,200m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,4,Да,2Паркингместа,Југоисток,,,Saraj
2091,35000€,41.440569,22.639528,3,98m²,Приземје,Друго,480m²,Вила,Нова,Наместен,1Балкон,2,Не,2Паркингместа,Југоисток,2007,,Балчик
2092,1€,41.7005757043537,21.7590584876747,8,140m²,2спрата,Дрва,80m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,3,Да,1Паркинг,Исток,1111,1111,LjubenVesov
2093,10€,41.9870695865131,21.4519291484375,5,117m²,Приземје,Нема,200m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,1Гаража,Исток,,,Бањалучка5АТафталиџеII
2094,По договор,41.991502,21.39781,7,160m²,2спрата,Дрва,80m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,2,Да,3Паркингместа,Северозапад,1988,2011,ФранцПрешерн
2095,28000€,41.031728,21.329358,4,174m²,1спрат,Нема,84m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Гаража,Североисток,,,улкараорман
2096,1€,41.9801284805644,21.3008252853674,5,250m²,2спрата,Нема,1807m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,2,Да,1Паркинг,Исток,,,Glumovo
2097,1€,42.0540984716876,21.4456513967896,5,160m²,2спрата,Дрва,200m²,Останато,Стара,Празен,1Балкон,2,Да,3Паркингместа,Југоисток,1975,,ulbelkamen
2098,95000€,41.51282,20.96083,8,320m²,3спрата,Централно,60m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,5Балкони,4,Да,Нема,Југоисток,2012,,LefceStefanoskiTarzan
2099,185000€,41.9870695865131,21.4519291484375,8,400m²,4спрата,Друго,410m²,Еднасемејнакуќа-Самостојна,Нова,Празен,Повеќеод5балкони,4,Да,4Паркингместа,Југ,2004,,
2100,По договор,42.132926,21.715878,8,400m²,4спрата,Дрва,220m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,Повеќеод5балкони,1,Да,Гаража+1Паркинг,Југоисток,1980,,EsperantoBr88
2101,1€,42.0057914258893,21.3599186503907,2,38m²,Приземје,Струја,25m²,Дуплекс-Лепенакуќа,Стара,Празен,Нема,1,Да,Нема,Југозапад,,,
2102,150000€,42.1209752267082,21.7021594621883,10,200m²,2спрата,Дрва,750m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+2Балкони,2,Не,2Паркингместа,Запад,2015,,PcinskipatBB
2103,1€,42.0330265397821,21.3537165182568,4,95m²,2спрата,Струја,86m²,Дуплекс-Лепенакуќа,Реновирана,Празен,2Балкони,2,Не,1Гаража,Североисток,1981,2002,ul34br2
2104,1€,42.0038751561161,21.5670839457728,5,105m²,1спрат,Дрва,470m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,2Паркингместа,Исток,1987,,Ul11br42
2105,75000€,41.931839,21.502835,5,120m²,2спрата,Друго,150m²,Еднасемејнакуќа-Самостојна,Нова,Празен,Тераса+3Балкони,3,Да,1Гаража,Југ,,,
2106,35500€,41.031728,21.329358,6,150m²,2спрата,Централно,200m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,2,Не,3Паркингместа,Југоисток,,,БАДЕМБАЛАРИ
2107,1€,42.052075,21.450415,2,30m²,Високоприземје,Нема,120m²,Дуплекс-Лепенакуќа,Стара,Празен,1Тераса,1,Да,Нема,Запад,,,
2108,По договор,42.0630306064368,21.4557354677081,3,100m²,1спрат,Друго,100m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Балкон,2,Не,1Паркинг,Запад,2017,,Radishani
2109,55000€,41.745515,22.19396,8,500m²,2спрата,Дрва,300m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,3Балкони,2,Да,2Паркингместа,Југозапад,2014,2014,
2110,1€,42.009423,20.971549,6,,2спрата,Друго,0000m²,Мултисемејнакуќа,Нова,Наместен,2Балкони,3,Да,1Паркинг,Југ,,,Janesandanskibr21
2111,32000€,41.031728,21.329358,3,91m²,1спрат,Дрва,50m²,Половинакуќа,Стара,Празен,2Балкони,1,Да,Нема,Југозапад,,,
2112,1€,42.132926,21.715878,45,100m²,2спрата,Струја,77m²,Дуплекс-Лепенакуќа,Нова,Наместен,3Балкони,2,Не,Повеќеод4паркингместа,Југоисток,2007,,IvoLolaRibar
2113,50000€,41.031728,21.329358,4,120m²,2спрата,Дрва,45m²,Дуплекс-Лепенакуќа,Стара,Наместен,1Тераса,2,Да,1Паркинг,Југозапад,,,
2114,68000€,41.031728,21.329358,4,72m²,Приземје,Централно,2000m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Тераса,1,Не,Гаража+2Паркингместа,Југоисток,,,
2115,88000€,41.173346,20.677493,6,105m²,2спрата,Друго,,Еднасемејнакуќа-Самостојна,Реновирана,Празен,3Балкони,3,Да,Нема,Југозапад,1995,,ГоцеДелчев37
2116,70000€,41.031728,21.329358,6,150m²,2спрата,Дрва,300m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Тераса+2Балкони,2,Да,Гаража+1Паркинг,Југозапад,,,
