,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
1405,5800€,41.221826,21.207874,Mercedes-Benz,E220,2003,Дизел,250000,Автоматски,Седани,Црна,Македонска,122019,150kw/204ks,
1406,2400€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,1999,Дизел,200000,Рачен,Седани,Сина,Македонска,082020,81kw/110ks,
1407,1200€,41.9870695865131,21.4519291484375,Mercedes-Benz,E250,1996,Дизел,,Рачен,Седани,Жолта,Македонска,062020,100kw/136ks,
1408,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2007,Дизел,200000,Рачен,Хеџбек,Сина,Македонска,072020,77kw/105ks,
1409,430€,41.9870695865131,21.4519291484375,Kia,Другмодел,1997,Бензин,130000,Рачен,Maлиградски,Бела,Македонска,082019,39kw/53ks,
1410,3399€,41.346182,21.553379,Opel,Meriva,2008,Дизел,70000,Рачен,Моноволумен,Сива,Македонска,082019,74kw/101ks,
1411,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2007,Дизел,180000,Рачен,Каравани,Сива,Македонска,122020,100kw/136ks,
1412,По договор,41.484224,22.089622,Opel,Astra,2005,Дизел,180000,Рачен,Седани,Сива,Македонска,042020,74kw/101ks,
1413,1€,41.346182,21.553379,Mercedes-Benz,ML350,2010,Дизел,110000,Автоматски,Теренци-SUV,Сива,Македонска,012019,170kw/231ks,
1414,6250€,41.9870695865131,21.4519291484375,Audi,A3,2007,Дизел,200000,Рачен,Хеџбек,Сина,Македонска,072019,127kw/173ks,
1415,1€,41.949632,21.502494,Opel,Meriva,2006,Дизел,140000,Рачен,Maлиградски,Сива,Македонска,122020,74kw/101ks,Еуро4
1416,20000€,42.132926,21.715878,BMW,420,2015,Дизел,160000,Автоматски,,Бела,Странска,102019,140kw/190ks,
1417,1900€,41.745515,22.19396,VWVolkswagen,Passat,2007,Дизел,130000,Рачен,Седани,Зелена,Странска,102019,100kw/136ks,
1418,300€,41.031728,21.329358,Ford,Fiesta,1995,Бензин,75000,Рачен,Maлиградски,Црвена,Македонска,092019,45kw/61ks,
1419,1МКД,41.9870087813815,21.4781947061419,Saab,9-5,1980,Бензин,,Рачен,Седани,Сина,Македонска,012016,75kw/102ks,
1420,5870€,41.9870695865131,21.4519291484375,Fiat,Linea,2013,Дизел,75000,Рачен,Седани,Црна,Македонска,062020,66kw/90ks,
1421,17500€,41.9870695865131,21.4519291484375,Audi,A3,2014,Дизел,95000,Рачен,Хеџбек,Црна,Македонска,032020,110kw/150ks,
1422,1€,41.949632,21.502494,VWVolkswagen,Beetle,2001,Дизел,130000,Рачен,Хеџбек,Црна,Македонска,112019,85kw/116ks,
1423,1€,41.949632,21.502494,VWVolkswagen,Bora,2000,Дизел,,Рачен,Хеџбек,Сива,Македонска,052020,110kw/150ks,
1424,300€,41.924335,22.404964,VWVolkswagen,Passat,2003,Дизел,25000,Рачен,Каравани,Сива,Македонска,062020,74kw/101ks,
1425,999999МКД,41.9870695865131,21.4519291484375,Fiat,Punto,1999,Бензин,160000,Рачен,Кабриолети,Сива,Македонска,012018,44kw/60ks,
1426,999999МКД,41.9870695865131,21.4519291484375,Opel,Tigra,1998,Бензин/Плин,170000,Рачен,Купеа,Сина,Македонска,012018,78kw/106ks,
1427,6000€,41.9870695865131,21.4519291484375,Mercedes-Benz,320,2004,Дизел,250000,Автоматски,,,Македонска,102019,170kw/231ks,
1428,3000€,41.635743,22.470056,Mercedes-Benz,E220,2003,Дизел,190000,Автоматски,Седани,Сина,Странска,082020,143kw/194ks,
1429,По договор,42.205478,22.333429,Opel,Astra,2010,Дизел,180000,Рачен,Хеџбек,Сина,Македонска,012020,74kw/101ks,
1430,650€,41.635743,22.470056,Yugo,55,2000,Бензин,75000,Рачен,Maлиградски,Бела,Македонска,072019,40kw/54ks,
1431,1400€,41.745515,22.19396,Peugeot,306,1998,Бензин/Плин,200000,Рачен,Купеа,Сина,Македонска,032020,89kw/121ks,
1432,8500€,41.111733,20.798579,Mercedes-Benz,E200,2008,Дизел,200000,Автоматски,Седани,Црна,Македонска,072020,1kw/1ks,
1433,По договор,41.346182,21.553379,Skoda,Fabia,2004,Бензин,170000,Рачен,Хеџбек,Црна,Странска,102019,74kw/101ks,
1434,4500€,41.931839,21.502835,Peugeot,308,2009,Дизел,160000,Рачен,Каравани,Сива,Македонска,012018,80kw/109ks,
1435,По договор,41.346182,21.553379,Opel,Meriva,2005,Дизел,200000,Рачен,Моноволумен,Црвена,Македонска,012020,74kw/101ks,
1436,1000€,41.031728,21.329358,Ford,Mondeo,1995,Бензин,170000,Рачен,Седани,Црна,Македонска,102020,71kw/97ks,
1437,3600€,41.9870695865131,21.4519291484375,Mercedes-Benz,C200,2001,Бензин/Плин,350000,Рачен,Седани,Црна,Македонска,092019,120kw/163ks,
1438,3200€,41.9870695865131,21.4519291484375,Ford,Galaxy,2002,Дизел,250000,Рачен,Моноволумен,Сива,Македонска,122019,0kw/0ks,
1439,4400€,41.873525,22.29332,Audi,A4,2004,Дизел,170000,Рачен,Каравани,Црна,Македонска,102020,96kw/131ks,
1440,1600€,41.031728,21.329358,Opel,Corsa,2000,Бензин,,Рачен,Maлиградски,Сина,Македонска,072020,55kw/75ks,
1441,4000€,41.801881,20.913259,Mercedes-Benz,C230,1998,Бензин,180000,Рачен,Седани,Црна,Македонска,072020,110kw/150ks,
1442,5200€,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2004,Дизел,300000,Автоматски,Седани,Црна,Македонска,072020,100kw/136ks,
1443,999€,41.9870695865131,21.4519291484375,Mercedes-Benz,190,1987,Дизел,300000,Рачен,Седани,Бела,Македонска,052020,53kw/72ks,
1444,1100€,42.132926,21.715878,Peugeot,206,1999,Дизел,10000,Рачен,Maлиградски,Зелена,Македонска,042020,110kw/150ks,
1445,2700€,41.9870695865131,21.4519291484375,Seat,Ibiza,2007,Бензин,160000,Рачен,Хеџбек,Црна,Македонска,012018,63kw/86ks,
