,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Адреса,Годинанареновирање
262,1€,41.440569,22.639528,8,256m²,2спрата,Друго,56m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,2,Да,2Паркингместа,Исток,2000,1,2010
263,64500€,41.1175409963602,20.794718978019,1,86m²,2спрата,Нема,86m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Да,Нема,Север,,GoceDelchev123,
264,75000€,42.009423,20.971549,4,203m²,1спрат,Дрва,68m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,2,Не,Нема,Југозапад,,copcesokace,
265,45000€,41.745515,22.19396,4,90m²,1спрат,Дрва,30m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,2Балкони,1,Да,Нема,Исток,90,Promajastip,2018
266,По договор,41.9870695865131,21.4519291484375,7,230m²,Високоприземје,Дрва,670m²,Двo-семејнакуќа,Нова,Наместен,1Балкон,2,Да,Гаража+3Паркингместа,Север,2015,Ul2Br98Butel/Vizbegovo,
267,1€,41.0327168436996,21.3344975826237,10,220m²,4спрата,Струја,100m²,Мултисемејнакуќа,Нова,Полунаместен,1Балкон,4,Да,4Паркингместа,Југоисток,2019,JaneSandanskibr26,2019
268,1€,41.745515,22.19396,3,37m²,Приземје,Дрва,100m²,Останато,Стара,Полунаместен,Нема,1,Да,1Паркинг,Југ,,MirceAcev,2013
269,1€,42.0095223778333,21.4472942912598,11,240m²,2спрата,Друго,300m²,Двo-семејнакуќа,Стара,Празен,3Балкони,3,Да,2Паркингместа,Југоисток,,,
270,305000€,42.009423,20.971549,9,411m²,3спрата,Централно,287m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,Повеќеод5балкони,Повеќеод4,Да,3Паркингместа,Исток,1990,voblizinanasportskiotcentar,2015
271,55000€,41.14712,22.507161,9,154m²,2спрата,Струја,251m²,Мултисемејнакуќа,Реновирана,Наместен,2Балкони,3,Да,2Паркингместа,Исток,1995,BorisKidric,2007
272,199990€,42.009423,20.971549,4,197m²,1спрат,Струја,130m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Не,1Гаража,Југоисток,,PatotzaShapka,
273,900000€,41.14712,22.507161,15,1m²,3спрата,Централно,1m²,Останато,Нова,Наместен,Нема,Повеќеод4,Не,Повеќеод4паркингместа,Исток,2013,StarDojran,2013
274,35000€,41.14712,22.507161,25,100m²,2спрата,Струја,50m²,Дуплекс-Лепенакуќа,Стара,Наместен,1Балкон,1,Да,1Паркинг,Исток,1995,Prvimaj,2009
275,320000€,41.1762547798245,20.6774424916255,10,270m²,3спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Повеќеод5балкони,Повеќеод4,Не,2Паркингместа,Југ,2022,Klimeticabr3,2022
276,5€,41.031728,21.329358,8,270m²,3спрата,Нема,270m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,Нема,1,Да,Нема,Југоисток,1990,Cvetandimov,2000
277,75€,42.036516,21.42584,6,112m²,2спрата,Дрва,300m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,2,Да,Нема,Исток,1968,УлВиничкабр5,
278,1€,41.438304,22.004864,8,430m²,3спрата,Струја,450m2m²,Мултисемејнакуќа,Нова,Празен,4Балкони,3,Да,1Паркинг,Југ,,,
279,18000€,41.4332447095312,22.0094559418335,3,57m²,Приземје,Дрва,135m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Нема,1,Не,Нема,Исток,,Битолска16,
280,350000€,41.9870695865131,21.4519291484375,5,410m²,2спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,3Балкони,3,Да,3Паркингместа,Запад,1986,РилскиКонгрес,2011
281,260000€,41.111733,20.798579,8,260m²,3спрата,Друго,300m²,Вила,Нова,Полунаместен,2Балкони,2,Не,3Паркингместа,Југозапад,,ohrid,
282,72000€,41.111733,20.798579,5,112m²,2спрата,Друго,120m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,1Балкон,1,Да,2Паркингместа,Запад,,ohrid,
283,350€,41.031728,21.329358,6,220m²,3спрата,Централно,150m²,Мултисемејнакуќа,Реновирана,Наместен,5Балкони,3,Да,3Паркингместа,Југ,1995,Solunska,2015
284,66600€,41.14712,22.507161,45,150m²,Приземје,Струја,50m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Не,1Паркинг,Југ,1980,TaljaBikovabr69Gevgelija,2020
285,1€,42.132926,21.715878,6,140m²,2спрата,Нема,240m²,Останато,Стара,Празен,2Балкони,2,Да,2Паркингместа,Исток,,АбдулаПрешевабр27,
286,По договор,42.132926,21.715878,4,80m²,1спрат,Нема,150m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,Нема,1,Да,2Паркингместа,Југозапад,,GjuroGjakovik43Kumanovo,
287,88000€,41.919337527894,22.4135466353765,15,381m²,3спрата,Нема,220m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,Повеќеод5балкони,Повеќеод4,Да,1Гаража,Југ,2016,VitaPopJordanova,2016
288,1€,41.346182,21.553379,5,158m²,2спрата,Дрва,460m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,3Балкони,1,Не,Нема,Југ,2010,novolagovo,
289,По договор,41.031728,21.329358,,,Високоприземје,,,,,,,,Не,,,,,
290,2€,41.346182,21.553379,4,10m²,1спрат,Дрва,2m²,Половинакуќа,Стара,Полунаместен,1Балкон,1,Да,Повеќеод4паркингместа,Југ,,Arhimedova6,
291,1€,42.132926,21.715878,45,220m²,1спрат,Централно,410m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,3Балкони,2,Не,4Паркингместа,Исток,2020,PavleStanoev12,2021
292,32000€,41.0284531421223,21.3300624123346,3,56m²,1спрат,Струја,36m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,1Тераса,1,Да,1Паркинг,Југ,1988,ХристоБотев26воцентарот,2019
293,12000€,41.031728,21.329358,2,40m²,Приземје,Нема,6m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,Нема,1,Не,Нема,Југ,1982,БУЛЕВАР1ВИМАЈБР351,2010
294,75000€,41.949632,21.502494,6,123m²,2спрата,Нема,317m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,2Балкони,2,Не,1Гаража,Југоисток,1980,Dolnolisice,2017
295,340000€,41.9992089131695,21.371190994978,7,290m²,2спрата,Струја,422m²,Двo-семејнакуќа,Нова,Полунаместен,3Балкони,3,Да,2Паркингместа,Југозапад,2006,,
296,75000€,42.037367364067,21.3446397531515,6,122m²,2спрата,Друго,320m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+2Балкони,3,Не,Гаража+1Паркинг,Југ,2013,ул49бр58Волково,
297,1€,41.9870695865131,21.4519291484375,15,700m²,4спрата,Струја,,Останато,Нова,Луксузен,3Балкони,Повеќеод4,Да,Повеќеод4паркингместа,Југ,2001,Titoveleska51,
298,По договор,41.715954,21.770997,5,85m²,2спрата,Друго,50m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,2Паркингместа,Југ,,KlimentOhridski,
299,1€,42.1287809157441,21.7096182256868,8,190m²,3спрата,Струја,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,1,Да,Гаража+1Паркинг,Југоисток,,AbdulaPreshevabr31,
300,1€,41.9870695865131,21.4519291484375,6,210m²,3спрата,Централно,30m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,2Балкони,3,Да,Нема,Исток,,CairulCelopek,
301,35000€,41.031728,21.329358,4,80m²,2спрата,Струја,25m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Тераса+1Балкон,1,Не,1Паркинг,Исток,,КАЈЧИФТЕФУРНИ,
302,70000€,41.9539731799321,21.4869702583013,4,101m²,2спрата,Струја,180m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,2,Да,1Паркинг,Југ,1985,Саса18/3,
303,43000€,41.346182,21.553379,3,75m²,Високоприземје,Дрва,185m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Тераса,1,Не,1Паркинг,Југозапад,2011,улКрумеВолнароскиПрилеп,2011
304,1€,41.434614155643,22.0190062224215,9,183m²,2спрата,Дрва,90m²,Двo-семејнакуќа,Стара,Полунаместен,2Балкони,2,Не,2Паркингместа,Југоисток,,7Септемврибр99,
305,18000€,41.711096,22.848172,3,550m²,1спрат,Дрва,550m²,Половинакуќа,Стара,Полунаместен,Нема,1,Да,1Паркинг,Запад,,IndustriskaPehcevo,
306,1€,41.9870695865131,21.4519291484375,6,260m²,1спрат,Централно,400m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,4Балкони,2,Да,2Паркингместа,Запад,,VlaeВлаеКарпошKarposTaftalidzeТафталиџе,
307,600000€,41.9870695865131,21.4519291484375,45,264m²,3спрата,Централно,650m²,Вила,Нова,Луксузен,4Балкони,3,Да,2Паркингместа,Исток,2009,KaliteaHalkidiki,
308,1€,41.5108007427248,20.9643474593048,6,105m²,2спрата,Дрва,490m²,Останато,Стара,Полунаместен,Нема,2,Не,1Гаража,Исток,,29tiNoemvri45Podvarosh,
309,1€,41.031728,21.329358,8,180m²,2спрата,Нема,350m²,Двo-семејнакуќа,Стара,Полунаместен,1Балкон,2,Да,2Паркингместа,Југ,1988,CarSamoil172,1988
310,59000€,41.9870695865131,21.4519291484375,6,225m²,2спрата,Дрва,100m²,Дуплекс-Лепенакуќа,Стара,Празен,1Балкон,2,Да,1Паркинг,Југоисток,,Dracevo,
311,75000€,41.715954,21.770997,8,150m²,2спрата,Дрва,215m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,2,Да,2Паркингместа,Исток,,Lujpaster,
312,1€,41.5099598925318,20.9530059963035,9,150m²,2спрата,Дрва,715m²,Двo-семејнакуќа,Реновирана,Наместен,2Балкони,3,Да,2Паркингместа,Исток,,4-tiJuli210,2010
313,55000€,41.111733,20.798579,5,160m²,2спрата,Друго,240m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Не,2Паркингместа,Запад,,ohrid,
314,1€,42.00877,21.45126,4,100m²,Приземје,Нема,530m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,Нема,Југ,1,Krivafeja,1
315,По договор,41.031728,21.329358,4,130m²,2спрата,Нема,12m²,Дуплекс-Лепенакуќа,Стара,Празен,2Балкони,2,Не,Нема,Југ,1969,НиколаТесла,2014
316,1€,41.635743,22.470056,5,109m²,1спрат,Дрва,XXXm²,Дуплекс-Лепенакуќа,Реновирана,Наместен,1Балкон,2,Да,2Паркингместа,Југ,,OBRATZIZMI21,
317,130000€,42.052075,21.450415,6,213m²,3спрата,Дрва,600m²,Дуплекс-Лепенакуќа,Нова,Празен,Тераса+3Балкони,2,Не,3Паркингместа,Североисток,,Prishtinska11,
318,По договор,42.132926,21.715878,12,360m²,3спрата,Друго,100m²,Мултисемејнакуќа,Нова,Наместен,3Балкони,3,Не,2Паркингместа,Север,2007,CERKEZ,2007
319,210000€,42.0481772629189,21.449453830719,4,120m²,2спрата,Дрва,300m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,2Балкони,2,Не,2Паркингместа,Исток,2009,Butelska49b,
320,1€,42.045922783129,21.4579868335615,1,220m²,2спрата,Друго,690m²,Останато,Воградба,Празен,4Балкони,Повеќеод4,Не,Нема,Југ,1,lubotenskipat,1
321,1€,42.132926,21.715878,10,100m²,2спрата,Дрва,300m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,3Балкони,2,Да,1Гаража,Југ,1984,11ноември152Бедиње,
322,45000€,41.346182,21.553379,6,87m²,2спрата,Дрва,290m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,Нема,1,Да,Нема,Југ,,Krumevolnaroski,
323,По договор,41.031728,21.329358,45,100m²,2спрата,Дрва,100m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Да,Гаража+1Паркинг,Југозапад,,АриАнѓелевскибр4А,
324,По договор,41.5164391402563,20.9601862698364,9,656m²,3спрата,Дрва,544m²,Останато,Нова,Празен,4Балкони,3,Не,Повеќеод4паркингместа,Исток,,улГоцеДелчев,
325,25900€,41.031728,21.329358,3,45m²,Приземје,Дрва,100m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Да,1Паркинг,Југ,,ДРВЕНПАЗАР,
326,69500€,41.031728,21.329358,5,170m²,2спрата,Струја,100m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,Тераса+1Балкон,1,Да,Гаража+1Паркинг,Југозапад,,ОУСТИВНАУМОВ,
327,1250€,42.0009426859107,21.3938617883301,6,155m²,Приземје,Струја,80m2+m²,Останато,Реновирана,Луксузен,1Тераса,2,Да,Повеќеод4паркингместа,Југ,,,2019
328,41900€,41.031728,21.329358,7,166m²,2спрата,Дрва,450m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,4Паркингместа,Југоисток,,ОУТОДОРАНГЕЛЕВСКИ,
329,61500€,41.031728,21.329358,8,150m²,2спрата,Струја,60m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Не,1Гаража,Југозапад,,ДРВЕНПАЗАР,
330,300000€,41.931839,21.502835,10,339m²,2спрата,Друго,171m²,Дуплекс-Лепенакуќа,Реновирана,Полунаместен,Тераса+3Балкони,4,Да,Гаража+Повеќеод4паркингместа,Југозапад,,TomeArsovski,
331,60000€,41.14712,22.507161,5,180m²,Приземје,Друго,420m²,Останато,Воградба,Полунаместен,2Балкони,1,Не,4Паркингместа,Југоисток,2000,Kozuvbb,2000
332,7000МКД,41.031728,21.329358,4,80m²,2спрата,Струја,70m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Не,1Паркинг,Југ,,ЦЕНТАР,
333,11€,41.9870695865131,21.4519291484375,7,160m²,2спрата,Дрва,300m²,,,,,,,,,,,
334,По договор,41.031728,21.329358,3,60m²,1спрат,Дрва,150m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Не,1Паркинг,Запад,1,damegruev159t,1
335,80000€,41.51282,20.96083,4,95m²,2спрата,Дрва,1800m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Да,4Паркингместа,Запад,,SpasenSiljanoskibr19,
336,14000€,41.745515,22.19396,15,34m²,Приземје,Нема,42m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,1Паркинг,Запад,,СтивНаумов,
337,1€,41.993825,21.436139,8,230m²,2спрата,Централно,144m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,4Балкони,1,Да,1Паркинг,Север,,,
338,110000€,41.111733,20.798579,9,212m²,2спрата,Струја,1108m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,3Балкони,3,Не,Повеќеод4паркингместа,Југ,1999,РадојцаНовичич,
339,60000€,41.315781,22.566826,5,160m²,2спрата,Дрва,500m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Тераса+1Балкон,2,Не,1Гаража,Југоисток,1973,НиколаКаревбр12Валандово,1973
340,1€,42.00877,21.45126,4,102m²,Приземје,Струја,600m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Да,1Паркинг,Исток,,ЧЕНТО,
341,1€,41.801881,20.913259,12,380m²,2спрата,Струја,380m²,Мултисемејнакуќа,Реновирана,Наместен,4Балкони,4,Да,2Паркингместа,Исток,1980,18Noemvri35,2020
342,60000€,41.315781,22.566826,5,160m²,2спрата,Дрва,500m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Тераса+1Балкон,2,Не,1Гаража,Југоисток,1973,НиколаКаревбр12Валандово,1973
343,39000€,41.944583,21.395116,15,35m²,Приземје,Нема,270m²,Вила,Нова,Наместен,1Балкон,1,Не,1Паркинг,Југ,2021,Dolnosonje,
344,110€,41.031728,21.329358,10,420m²,3спрата,Централно,420m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,Тераса+4Балкони,2,Да,1Паркинг,Југ,88,Novosadska24,
345,60000€,41.0315115050367,21.3424199388073,7,170m²,2спрата,Друго,20m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,3,Не,1Паркинг,Југ,2010,CvetanDimov,2010
346,100000€,41.931839,21.502835,3,73m²,Високоприземје,Друго,267m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Да,Повеќеод4паркингместа,Исток,1994,Булевар“Србија”бр19Населба“11Октомври”Скопј,2014
347,1€,41.931839,21.502835,6,171m²,2спрата,Друго,440m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Повеќеод5балкони,2,Да,1Паркинг,Исток,2003,ПИНТИЈА,
348,1€,41.440569,22.639528,10,250m²,2спрата,Нема,470m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,4Балкони,2,Да,2Паркингместа,Исток,,,
349,25000€,41.9870695865131,21.4519291484375,3,80m²,2спрата,Дрва,100m²,Дуплекс-Лепенакуќа,Реновирана,Наместен,1Балкон,1,Да,Нема,Југоисток,2000,NEZILOVOVELESKUKA,2000
350,250000€,41.9870695865131,21.4519291484375,3,120m²,3спрата,Централно,1280m²,Вила,Реновирана,Наместен,3Балкони,2,Да,4Паркингместа,Југ,2011,GerakiniHalkidikiGreece,2011
351,По договор,41.9870695865131,21.4519291484375,4,192m²,2спрата,Друго,298m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Балкон,2,Не,1Паркинг,Северозапад,2019,Bizbeg,2020
352,По договор,41.031728,21.329358,5,130m²,1спрат,Дрва,2000m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Да,Гаража+Повеќеод4паркингместа,Југозапад,1980,UlStaraCesmabr37GOrizari,2000
353,7900€,41.031728,21.329358,1,30m²,Приземје,Нема,18m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,Нема,Исток,1982,БУЛЕВАР1ВИМАЈБР351,2010
354,80000€,42.052075,21.450415,6,125m²,2спрата,Струја,400m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,3Балкони,1,Да,3Паркингместа,Југ,1982,AFZ,2015
355,80000€,41.9870695865131,21.4519291484375,3,75m²,1спрат,Струја,550m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,1,Да,2Паркингместа,Исток,2012,Sasa18br42naspintija,
356,300000€,41.9700564801912,21.4453069810486,10,250m²,3спрата,Струја,200m²,Мултисемејнакуќа,Нова,Наместен,4Балкони,Повеќеод4,Не,Повеќеод4паркингместа,Север,2011,dimohadzidimov152,2011
357,По договор,41.5283937962978,20.9482880978069,15,330m²,3спрата,Дрва,626m²,Еднасемејнакуќа-Самостојна,Нова,Празен,Тераса+4Балкони,2,Не,Гаража+Повеќеод4паркингместа,Исток,1983,ulPartizanskiOdredi57,
358,По договор,41.111733,20.798579,12,340m²,3спрата,Друго,840m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,3Балкони,2,Да,3Паркингместа,Исток,,ohrid,
359,60000€,41.931839,21.502835,3,121m²,Високоприземје,Друго,41m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,1Паркинг,Југ,,11Октомври,
360,43000€,41.346182,21.553379,5,70m²,1спрат,Централно,30m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Да,1Паркинг,Запад,,,
361,215000€,42.0228449055571,21.4466501756656,15,350m²,3спрата,Друго,315m²,Мултисемејнакуќа,Нова,Полунаместен,4Балкони,Повеќеод4,Да,Повеќеод4паркингместа,Исток,,UlLjubaIvanovikbr7,
362,1€,42.132926,21.715878,8,300m²,2спрата,Централно,200m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,3Балкони,3,Да,1Гаража,Југозапад,2015,TrajkoProkopiev,
363,1€,41.51282,20.96083,6,341m²,2спрата,Друго,341m²,Дуплекс-Лепенакуќа,Стара,Празен,1Тераса,2,Да,1Паркинг,Југоисток,,ЈорданПиперката31-Кичево(НаселбаДевејана),
364,1€,42.132926,21.715878,4,97m²,2спрата,Нема,280m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,3Балкони,2,Да,1Паркинг,Североисток,,NarodnaRevolucija112,
365,89999€,41.9870695865131,21.4519291484375,10,230m²,2спрата,Нема,330m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,3Балкони,3,Не,2Паркингместа,Исток,2014,,
366,89500€,42.009423,20.971549,7,187m²,2спрата,Друго,187m²,Двo-семејнакуќа,Нова,Наместен,Нема,2,Да,Нема,Североисток,2014,ulProhorPcinskibr27,
367,45000€,41.424659701651,22.0142747235853,5,120m²,Високоприземје,Дрва,120m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,1,Да,2Паркингместа,Југ,,StivNaumovbr2Kavadarci,
368,1€,41.9870695865131,21.4519291484375,4,60m²,1спрат,Нема,1m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Тераса,1,Не,1Гаража,Југ,8,kenpanel,
369,55000€,41.0355779736426,21.3049223850474,4,70m²,1спрат,Струја,450m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Тераса,1,Да,Гаража+2Паркингместа,Југоисток,1980,Dovledzik210,
370,99690€,42.134250705363,21.7102436464381,7,200m²,1спрат,Дрва,14m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Не,Гаража+2Паркингместа,Југозапад,,улПрвиМајКуманово,
371,59000€,41.9870695865131,21.4519291484375,4,80m²,Високоприземје,Дрва,220m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Тераса,1,Да,Повеќеод4паркингместа,Североисток,1985,Ul70br38,2021
372,160000€,42.0102093463036,21.4428795614279,4,100m²,Приземје,Дрва,245m²,Половинакуќа,Стара,Празен,3Балкони,3,Не,2Паркингместа,Исток,,ulKostaAbrasevicbr8,
373,1€,41.173346,20.677493,35,200m²,2спрата,Струја,30m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Не,2Паркингместа,Североисток,2019,DimitarVlahov,
374,100000€,41.0308412161359,21.3339042663574,5,100m²,1спрат,Струја,120m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Да,1Паркинг,Запад,,CarSamoilbr20,
375,1€,42.132926,21.715878,8,100m²,2спрата,Дрва,100m²,Еднасемејнакуќа-Самостојна,Стара,Празен,4Балкони,1,Да,1Паркинг,Исток,1960,Trst16,2000
376,12€,41.9870695865131,21.4519291484375,5,110m²,Приземје,Струја,650m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,1Тераса,1,Да,Гаража+1Паркинг,Југозапад,65,VODNO,96
377,По договор,41.9870695865131,21.4519291484375,8,235m²,2спрата,Друго,270m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,4Балкони,3,Да,Гаража+3Паркингместа,Север,,,
378,825€,41.9824268189618,21.4892331586304,10,479m²,2спрата,Централно,350m²,Мултисемејнакуќа,Нова,Наместен,Тераса+5Балкони,Повеќеод4,Да,3Паркингместа,Југоисток,2014,TodorChangov41/3Skopje,
379,1МКД,41.924335,22.404964,6,80m²,2спрата,Дрва,450m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Да,1Паркинг,Исток,1960,kostaracinbr53,
380,47000€,42.132926,21.715878,5,85m²,2спрата,Струја,120m²,Еднасемејнакуќа-Самостојна,Воградба,Полунаместен,Тераса+2Балкони,2,Да,1Паркинг,Југозапад,1975,Dudodindikj,
381,1€,41.7327292969946,22.2020272190863,10,240m²,3спрата,Централно,150m²,Двo-семејнакуќа,Реновирана,Полунаместен,Повеќеод5балкони,3,Да,2Паркингместа,Југ,1980,25Maj,2015
382,1€,41.93375,21.621843,3,76m²,Приземје,Дрва,978m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Не,2Паркингместа,Исток,,КАТЛАНОВО,
383,1€,41.346182,21.553379,4,180m²,2спрата,Струја,180m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Да,1Гаража,Југозапад,,Trajkonikoloski,
384,405000€,41.931839,21.502835,15,624m²,3спрата,Струја,211m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,3Балкони,Повеќеод4,Да,Гаража+Повеќеод4паркингместа,Исток,,,
385,60000€,41.931839,21.502835,25,67m²,Високоприземје,Друго,144m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Тераса,1,Да,1Гаража,Исток,,,
386,1€,42.0330226040367,21.4432308640946,5,96m²,Приземје,Централно,242m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Да,2Паркингместа,Исток,1980,ПетарМанџуков93Б,
387,42000€,42.013646,21.32586,6,126m²,2спрата,Друго,400m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,1Балкон,2,Не,2Паркингместа,Југоисток,1963,ул100бр12ВолковоСкопје,
388,31500€,41.51282,20.96083,3,57m²,Приземје,Дрва,97m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Не,Повеќеод4паркингместа,Југоисток,,Lefcestefanoskitarzan,
389,40000€,42.132926,21.715878,8,150m²,2спрата,Струја,418m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,1,Не,Повеќеод4паркингместа,Североисток,1990,Biljanovce,1990
390,1€,41.9870695865131,21.4519291484375,6,,2спрата,Струја,,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,2,Да,2Паркингместа,Север,,Скопје,
391,По договор,42.132926,21.715878,8,220m²,1спрат,Дрва,86m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,2Балкони,2,Да,2Паркингместа,Југоисток,,,
392,21000€,41.031728,21.329358,3,58m²,1спрат,Дрва,45m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,Нема,Југ,,,
393,406000€,41.991502,21.39781,1,406m²,Приземје,Нема,,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,1Паркинг,Исток,,,
394,1€,41.9870695865131,21.4519291484375,5,200m²,2спрата,Дрва,500m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,3Балкони,2,Да,3Паркингместа,Североисток,2010,Ul5br40b,2010
395,65000€,41.111733,20.798579,4,130m²,2спрата,Друго,357m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,2Паркингместа,Запад,,Ohrid,
396,48000€,41.715954,21.770997,6,90m²,2спрата,Нема,200m²,Дуплекс-Лепенакуќа,Реновирана,Празен,Нема,2,Не,3Паркингместа,Југоисток,1975,Ljubljanska56,2010
397,125000€,41.9870695865131,21.4519291484375,5,360m²,2спрата,Друго,350m²,Еднасемејнакуќа-Самостојна,Стара,Празен,2Балкони,2,Да,Гаража+1Паркинг,Југ,1960,PandoKljashev,1970
398,1€,41.9870695865131,21.4519291484375,5,480m²,2спрата,Струја,480m²,Еднасемејнакуќа-Самостојна,Нова,Луксузен,Тераса+1Балкон,2,Не,3Паркингместа,Исток,2019,УлБр5,2019
399,1€,42.132926,21.715878,8,210m²,2спрата,Струја,1000m²,Двo-семејнакуќа,Стара,Полунаместен,3Балкони,2,Не,4Паркингместа,Југоисток,,Dragojlodindić23ko,
400,1€,41.715954,21.770997,10,320m²,3спрата,Централно,400m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,4Балкони,Повеќеод4,Не,Повеќеод4паркингместа,Југоисток,2020,BlagojNecev62,2020
