,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Годинанаградба,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Адреса,Годинанареновирање
10182,25000€,41.745515,22.19396,1,38m²,Струја,10кат,ВоЗграда,Нов,Наместен,Да,2015,1Балкон,1,Не,Нема,Југоисток,sremskifront30avlez1stan63,
10183,45000€,41.9870695865131,21.4519291484375,2,50m²,Централно,6кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,1,Не,Повеќеод3паркингместа,Југоисток,,
10184,69000€,41.978187,21.427388,3,66m²,Централно,6кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,2,Не,1Паркинг,Југ,,
10185,300€,41.9870695865131,21.4519291484375,3,70m²,Централно,2кат,ВоЗграда,Реновиран,Луксузен,Да,2000,1Балкон,2,Не,1Паркинг,Исток,Centar,2018
10186,79000€,41.9838970876563,21.4557925740936,3,86m²,Централно,Приземје,ВоЗграда,Реновиран,Празен,Да,1985,2Балкони,2,Да,Повеќеод3паркингместа,Југ,Aerodromkajpoliklinika,2005
10187,185000€,41.9870695865131,21.4519291484375,5,218m²,Струја,2кат,ВоЗграда,Нов,Полунаместен,Не,2016,2Балкони,Повеќеод2,Да,3Паркингместа,Југоисток,Zdanec,
10188,1070€,41.9974905698704,21.3982054578928,3,86m²,Централно,8кат,ВоЗграда,Воградба,Празен,Да,2018,1Балкон,2,Не,1Гаража,Југ,TaftalidzeDomino,
10189,1070€,41.9974962771732,21.3981379790032,2,54m²,Централно,3кат,ВоЗграда,Воградба,Празен,Да,2018,1Балкон,1,Не,1Гаража,Југ,TaftalidzeDomino,
10190,250€,41.978187,21.427388,2,48m²,Централно,1кат,ВоЗграда,Нов,Наместен,Да,,1Балкон,1,Не,1Паркинг,Исток,CENTARDRZAVNAMVR,
10191,1070€,41.9973572999427,21.3986871823868,2,49m²,Централно,4кат,ВоЗграда,Воградба,Празен,Да,2018,1Балкон,1,Не,1Гаража,Запад,TaftalidzeDomino,
10192,1070€,41.9976205579984,21.3982429184661,3,71m²,Централно,4кат,ВоЗграда,Воградба,Празен,Да,2018,1Балкон,1,Не,1Гаража,Југ,TaftalidzeDomino,
10193,1190€,41.9935550842515,21.4266336287146,5,140m²,Централно,5кат,ВоЗграда,Реновиран,Полунаместен,Да,1975,Тераса+Повеќеод3балкони,2,Не,2Паркингместа,Исток,Gradskizidblok5,1990
10194,1050€,41.9870695865131,21.4519291484375,4,74m²,Централно,4кат,,,,,,,,,,,,
10195,220€,41.9870695865131,21.4519291484375,2,48m²,Централно,Приземје,ВоЗграда,Реновиран,Наместен,Не,,Нема,1,Не,Нема,Исток,Ruzveltova,2016
10196,По договор,41.9870695865131,21.4519291484375,3,68m²,Централно,8кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,1,Да,Нема,Запад,Karpos,2015
10197,140000€,41.9924443066968,21.4222531878968,4,120m²,Струја,3кат,ВоЗграда,Нов,Празен,Да,2017,Тераса+1Балкон,2,Не,1Паркинг,Југ,VasilGjorgov4,
10198,1050€,41.9870695865131,21.4519291484375,2,43m²,Централно,Приземје,ВоЗграда,Воградба,Празен,Да,2018,1Тераса,1,Не,1Паркинг,Запад,,
10199,46000€,41.745515,22.19396,3,78m²,Дрва,5кат,ВоЗграда,Реновиран,Наместен,Не,,2Балкони,2,Да,1Паркинг,Запад,,2015
10200,120000€,41.9870695865131,21.4519291484375,3,90m²,Централно,2кат,ВоЗграда,Реновиран,Празен,Да,,1Балкон,2,Не,1Паркинг,Исток,,
10201,По договор,41.9870695865131,21.4519291484375,2,55m²,Соларнаенергија,2кат,ВоЗграда,Нов,Празен,Да,,1Балкон,1,Да,1Паркинг,Исток,,
10202,1€,41.111733,20.798579,2,44m²,Дрва,3кат,ВоЗграда,Нов,Празен,Не,,1Балкон,1,Не,1Паркинг,Запад,ШарПланина,
