,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
66,По договор,41.931839,21.502835,Ford,Fiesta,2003,Дизел,Рачен,Maлиградски,Сива,Македонска,042021,0kw/0ks,Еуро3,180000
67,4500€,41.931839,21.502835,Citroen,C4Picasso,2007,Дизел,Рачен,Хеџбек,Сина,Македонска,072021,110kw/150ks,Еуро4,200000
68,2999€,41.9870695865131,21.4519291484375,Peugeot,307,2006,Дизел,Рачен,Maлиградски,Сива,Македонска,102020,110kw/150ks,Еуро4,170000
69,300€,41.9870695865131,21.4519291484375,Fiat,Punto,1996,Дизел,Рачен,Хеџбек,Сива,Македонска,062018,17kw/23ks,Останато,140000
70,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,122021,66kw/90ks,Еуро5,180000
71,1500€,41.031728,21.329358,Toyota,Corolla,1993,Бензин,Рачен,Седани,Црвена,Македонска,082020,84kw/114ks,Останато,250000
72,3350€,41.031728,21.329358,Skoda,Fabia,2009,Бензин/Плин,Рачен,Каравани,Сива,Македонска,072021,51kw/69ks,Еуро4,190000
73,1€,41.9870695865131,21.4519291484375,LandRover,RangeRoverSport,2007,Дизел,Автоматски,Теренци-SUV,Сива,Македонска,052021,140kw/190ks,Еуро4,190000
74,1800€,41.9870695865131,21.4519291484375,Peugeot,206,2006,Дизел,Рачен,Каравани,Златна,Македонска,042021,64kw/87ks,Еуро3,180000
75,9000€,41.865485,21.940845,Seat,Exeo,2009,Дизел,Рачен,Седани,Црна,Македонска,102021,143kw/194ks,Еуро5,250000
76,1€,41.9870695865131,21.4519291484375,BMW,X5,2004,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,012021,160kw/218ks,Еуро4,250000
77,1€,41.9870695865131,21.4519291484375,LandRover,RangeRover,2006,Дизел,Автоматски,Теренци-SUV,Сива,Странска,012020,140kw/190ks,Еуро4,190000
78,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2010,Бензин/Плин,Рачен,Хеџбек,Сива,Македонска,012021,75kw/102ks,Еуро5,170000
79,3500€,41.9870695865131,21.4519291484375,Opel,Astra,2007,Бензин/Плин,Рачен,Хеџбек,Црна,Македонска,122021,66kw/90ks,Еуро4,180000
80,1€,41.9870695865131,21.4519291484375,Fiat,Panda,2007,Бензин/Плин,Рачен,Maлиградски,Жолта,Македонска,072021,40kw/54ks,Еуро4,85000
81,4200€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2004,Дизел,Рачен,Хеџбек,Црна,Македонска,112021,103kw/140ks,Еуро4,200000
82,4400€,41.9870695865131,21.4519291484375,Seat,Altea,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,122021,77kw/105ks,Еуро4,190000
