,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
3675,2650€,42.205478,22.333429,AlfaRomeo,Alfa156,2006,Дизел,Рачен,Каравани,Сива,Македонска,012018,110kw/150ks,Еуро4,190000
3676,1700€,42.132926,21.715878,VWVolkswagen,Другмодел,2001,Дизел,Рачен,Maлиградски,Сива,Македонска,032021,50kw/68ks,Еуро3,180000
3677,878787878€,41.440569,22.639528,AlfaRomeo,Alfa159,2007,Дизел,Рачен,Останато,Црна,Македонска,062020,2kw/3ks,Еуро4,20000
3678,5350€,41.989867,21.581912,Mercedes-Benz,A180,2008,Дизел,Рачен,Maлиградски,Сива,Македонска,012019,80kw/109ks,,200000
3679,4250€,41.346182,21.553379,Opel,Astra,2009,Дизел,Рачен,Каравани,Црна,Македонска,102020,84kw/114ks,,170000
3680,По договор,41.360705192989,21.576976776123,VWVolkswagen,Polo,2004,Бензин,Рачен,Maлиградски,Црна,Македонска,012020,55kw/75ks,,160000
3681,878787878€,41.440569,22.639528,Ford,Galaxy,2008,Дизел,Рачен,Останато,Сина,Македонска,122021,1kw/1ks,Еуро5,190000
3682,4199€,41.440569,22.639528,Seat,Leon,2006,Дизел,Рачен,Останато,Сива,Македонска,042021,1kw/1ks,Еуро4,200000
3683,По договор,41.9870695865131,21.4519291484375,BMW,116,2013,Дизел,Рачен,Хеџбек,Црна,Македонска,122020,85kw/116ks,Еуро5,110000
3684,200€,41.9870695865131,21.4519291484375,Ford,Fiesta,2001,Дизел,Рачен,Maлиградски,Сива,Странска,052017,66kw/90ks,,10000
3685,250€,41.9870695865131,21.4519291484375,Ford,Mondeo,1995,Дизел,Рачен,Каравани,Бела,Странска,062017,66kw/90ks,,20000
3686,1€,41.9870695865131,21.4519291484375,Fiat,Punto,2003,Бензин,Рачен,Maлиградски,Сива,Македонска,072018,55kw/75ks,Еуро3,25000
3687,7000€,41.14712,22.507161,Audi,A8,2004,Дизел,Автоматски,Седани,Сина,Македонска,012021,8kw/11ks,Еуро5,
3688,1€,41.745515,22.19396,Skoda,Fabia,2014,Дизел,Автоматски,Хеџбек,Бела,Македонска,082021,55kw/75ks,Еуро5,190000
3689,6€,41.438304,22.004864,VWVolkswagen,Golf,1999,Дизел,Рачен,Maлиградски,Црвена,Македонска,052020,81kw/110ks,Еуро3,200000
3690,10€,41.438304,22.004864,BMW,525,2005,Дизел,Рачен,Седани,Црна,Македонска,032020,130kw/177ks,,200000
3691,12€,41.438304,22.004864,Peugeot,405,1994,Дизел,Рачен,Седани,Зелена,Македонска,082020,66kw/90ks,,190000
3692,1€,41.3613010887874,21.5653038024902,Fiat,Punto,2001,Бензин,Рачен,Maлиградски,Сива,Странска,062017,1kw/1ks,,160000
3693,4900€,41.440569,22.639528,Fiat,Bravo,2010,Бензин/Плин,Рачен,,Црна,Македонска,012021,66kw/90ks,Еуро6,100000
3694,12500€,41.9870695865131,21.4519291484375,Seat,Leon,2014,Дизел,Рачен,Хеџбек,Бела,Македонска,112020,110kw/150ks,Еуро6,150000
3695,1€,41.346182,21.553379,VWVolkswagen,Polo,2000,Бензин,Рачен,Maлиградски,Сина,Македонска,072019,44kw/60ks,,120000
3696,11500€,41.440569,22.639528,VWVolkswagen,Passat,2011,Дизел,Рачен,Каравани,Сива,Македонска,072020,103kw/140ks,Еуро5,200000
3697,13500€,41.4410958007965,22.6833284732132,Mercedes-Benz,B180,2012,Дизел,Полуавтоматски,Хеџбек,Сива,Македонска,072020,100kw/136ks,Еуро5,190000
3698,40000МКД,41.4365741143423,22.0161760643744,Dacija,1310,1996,Бензин/Плин,Рачен,Каравани,Сина,Македонска,022020,45kw/61ks,Еуро2,30000
3699,7500€,41.9870695865131,21.4519291484375,Mini,Coope,2008,Бензин,Рачен,Maлиградски,Црвена,Македонска,102020,88kw/120ks,Еуро5,55000
3700,3200€,41.715954,21.770997,Peugeot,307,2007,Бензин,Рачен,Хеџбек,Сина,Македонска,122020,65kw/88ks,Еуро4,170000
3701,1100€,41.9870695865131,21.4519291484375,Opel,Corsa,1997,Бензин,Рачен,Maлиградски,Бела,Македонска,062020,1kw/1ks,Еуро3,190000
3702,1000€,41.9870695865131,21.4519291484375,Skoda,Felicia,1996,Бензин/Плин,Рачен,Хеџбек,Црвена,Македонска,112020,43kw/58ks,Останато,100000
3703,5800€,42.0037215719673,21.3445472717285,VWVolkswagen,Passat,2005,Дизел,Рачен,Седани,Сина,Македонска,072020,103kw/140ks,Еуро4,200000
3704,5250€,41.9870695865131,21.4519291484375,Skoda,Yeti,2010,Бензин,Автоматски,Теренци-SUV,Бела,Македонска,122019,77kw/105ks,Еуро5,150000
3705,1€,41.440569,22.639528,Audi,A6,2006,Дизел,Автоматски,Останато,Сина,Македонска,062020,1kw/1ks,Еуро5,200000
3706,7400€,41.440569,22.639528,VWVolkswagen,T5Други,2007,Дизел,Рачен,Останато,Бела,Македонска,072018,75kw/102ks,,190000
3707,6500€,41.815793,22.236264,Audi,A6,2006,Дизел,Автоматски,Седани,Сива,Македонска,102020,132kw/179ks,Еуро4,300000
3708,5600€,41.9829452100835,21.4710531459275,Citroen,C5,2008,Дизел,Рачен,Седани,Сива,Македонска,082019,125kw/170ks,Еуро4,180000
3709,9€,41.9870695865131,21.4519291484375,Opel,Corsa,1998,Бензин,Рачен,Maлиградски,Сина,Македонска,062020,40kw/54ks,Еуро2,150000
3710,2500€,41.031728,21.329358,Renault,Scenic,2005,Дизел,Рачен,Моноволумен,Сива,Македонска,072020,80kw/109ks,Еуро4,190000
3711,1€,41.715954,21.770997,Hyundai,Coupe,2001,Бензин,Рачен,,Црна,Македонска,022020,94kw/128ks,,170000
3712,4500€,42.009423,20.971549,LandRover,Freelander,2004,Дизел,Рачен,Теренци-SUV,Зелена,Македонска,012021,85kw/116ks,Еуро4,150000
3713,99МКД,41.031728,21.329358,Opel,Corsa,1999,Бензин,Рачен,Maлиградски,Бела,Македонска,012018,60kw/82ks,Останато,
3714,99МКД,41.031728,21.329358,Opel,Astra,1999,Бензин,Рачен,Maлиградски,Сива,Македонска,012018,60kw/82ks,Останато,
3715,2990€,42.132926,21.715878,Opel,Corsa,2006,Бензин,Рачен,Maлиградски,Црна,Македонска,122020,59kw/80ks,Еуро4,140000
3716,По договор,41.031728,21.329358,BMW,X5,2001,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,112020,135kw/184ks,Останато,250000
3717,5000€,41.924335,22.404964,Seat,Altea,2009,Бензин,Рачен,Хеџбек,Сива,Македонска,072020,92kw/125ks,Останато,150000
3718,1300€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,1997,Дизел,Рачен,Хеџбек,Црвена,Македонска,102020,75kw/102ks,Еуро3,190000
3719,3800€,41.484224,22.089622,Seat,Leon,2003,Бензин,Рачен,Хеџбек,Црна,Странска,082020,168kw/228ks,Еуро4,190000
3720,6800€,41.484224,22.089622,Mercedes-Benz,E270,2003,Дизел,Автоматски,Седани,Сива,Македонска,052020,130kw/177ks,Еуро4,250000
3721,1€,41.801881,20.913259,Audi,A4,2003,Дизел,Автоматски,Каравани,Црна,Македонска,102020,94kw/128ks,Еуро4,250000
3722,10900€,42.009423,20.971549,Mercedes-Benz,E320,2008,Дизел,Автоматски,Седани,Бела,Македонска,012020,160kw/218ks,Еуро4,200000
3723,800€,41.635743,22.470056,Peugeot,406,2000,Дизел,Рачен,Седани,Сина,Македонска,072019,80kw/109ks,Еуро3,200000
3724,9200€,41.9870695865131,21.4519291484375,Peugeot,308,2016,Дизел,Рачен,Хеџбек,Сива,Македонска,032021,73kw/99ks,Останато,140000
3725,3200€,41.635743,22.470056,AlfaRomeo,Alfa147,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,012020,80kw/109ks,Еуро4,180000
3726,1190€,41.931839,21.502835,Fiat,Punto,2000,Дизел,Рачен,Maлиградски,Сина,Македонска,092020,44kw/60ks,Еуро3,200000
3727,15€,41.031728,21.329358,Nissan,Primera,1999,Дизел,Рачен,Седани,Зелена,Македонска,,,,20000
3728,12500€,41.484224,22.089622,Audi,A6,2009,Дизел,Автоматски,Седани,Сива,Македонска,082020,200kw/272ks,Еуро5,200000
3729,2500€,41.346182,21.553379,Citroen,XsaraPicasso,2002,Дизел,Рачен,Моноволумен,Сива,Македонска,032021,66kw/90ks,Еуро3,190000
3730,16000€,41.9870695865131,21.4519291484375,Audi,Q3,2013,Дизел,Рачен,Хеџбек,Сива,Македонска,042021,136kw/185ks,Еуро5,170000
3731,4500€,41.495774,22.385457,Audi,A4,2005,Дизел,Рачен,Седани,Црна,Македонска,082020,100kw/136ks,Останато,250000
3732,7500€,42.009423,20.971549,Ford,Mustang,2007,Бензин/Плин,Автоматски,Седани,Сива,Странска,012021,157kw/213ks,Еуро4,170000
3733,11€,41.9870695865131,21.4519291484375,Yugo,Florida,2003,Бензин,Рачен,Хеџбек,Црвена,Македонска,122021,70kw/95ks,Еуро2,90000
3734,2250€,41.9870695865131,21.4519291484375,Opel,Corsa,2001,Бензин,Рачен,Maлиградски,Сива,Македонска,052020,55kw/75ks,Еуро3,160000
3735,По договор,41.9870695865131,21.4519291484375,Seat,Ibiza,2002,Дизел,Рачен,Maлиградски,Сина,Македонска,062020,55kw/75ks,Еуро3,190000
3736,4€,41.346182,21.553379,Peugeot,308,2008,Бензин/Плин,Рачен,Хеџбек,Црна,Македонска,012021,88kw/120ks,Еуро4,170000
3737,1350€,42.132926,21.715878,VWVolkswagen,Golf,1986,Дизел,Рачен,Останато,Црна,Македонска,042021,51kw/69ks,Еуро2,200000
3738,4500€,42.132926,21.715878,Mercedes-Benz,220,2003,Дизел,Рачен,Седани,Сива,Македонска,122021,110kw/150ks,Останато,200000
3739,1500€,42.132926,21.715878,VWVolkswagen,Golf,1995,Дизел,Рачен,Останато,Зелена,Македонска,092020,55kw/75ks,Еуро3,200000
3740,1000€,41.51282,20.96083,Seat,Ibiza,1998,Бензин/Плин,Рачен,Maлиградски,Црвена,Македонска,032018,44kw/60ks,,15000
3741,1500€,42.009423,20.971549,VWVolkswagen,Fox,1999,Дизел,Рачен,Maлиградски,Црвена,Македонска,032021,47kw/64ks,Останато,25000
3742,1€,41.966811,22.781396,BMW,X5,2003,Дизел,Автоматски,Теренци-SUV,Сива,Странска,082020,163kw/222ks,,250000
3743,4500€,41.9870695865131,21.4519291484375,Opel,Vectra,2002,Бензин/Плин,Рачен,Седани,Сива,Македонска,092020,109kw/148ks,Еуро3,150000
3744,1€,41.949632,21.502494,Mercedes-Benz,E220,1999,Дизел,Автоматски,Седани,Бела,Македонска,122019,105kw/143ks,Останато,200000
3745,2800€,41.438304,22.004864,Lada,Niva,1998,Бензин/Плин,Рачен,Теренци-SUV,,Македонска,012021,75kw/102ks,Еуро2,10000
3746,29500€,42.009423,20.971549,Audi,A4,2017,Дизел,Полуавтоматски,Седани,Црна,Македонска,022021,140kw/190ks,Еуро6,55000
3747,1€,42.132926,21.715878,VWVolkswagen,Passat,2005,Дизел,Рачен,Седани,Бела,Македонска,122020,77kw/105ks,Еуро4,200000
3748,1200€,41.745515,22.19396,Zastava,750,1980,Бензин,Рачен,Maлиградски,Жолта,Македонска,082021,18kw/24ks,Останато,95000
3749,2000€,41.346182,21.553379,Fiat,Другмодел,1980,Бензин,Рачен,Седани,Бела,Македонска,012021,47kw/64ks,Останато,35000
3750,3100€,41.9870695865131,21.4519291484375,Renault,Scenic,2008,Дизел,Рачен,Хеџбек,Сива,Македонска,052020,106kw/144ks,Еуро4,170000
3751,7100€,41.9870695865131,21.4519291484375,Audi,A4,2009,Дизел,Рачен,Каравани,Црна,Странска,012018,245kw/333ks,Еуро5,200000
3752,4€,41.346182,21.553379,VWVolkswagen,Golf,2004,Дизел,Рачен,Хеџбек,Сива,Македонска,092020,103kw/140ks,Еуро5,190000
3753,По договор,41.484224,22.089622,Opel,Astra,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,032021,74kw/101ks,Еуро4,180000
3754,5500€,42.0257787647941,20.9614803815695,VWVolkswagen,Golf,2008,Дизел,Рачен,Хеџбек,Црвена,Македонска,062022,105kw/143ks,Еуро4,200000
3755,3800€,41.9870695865131,21.4519291484375,Opel,Astra,2010,Дизел,Рачен,Каравани,Бела,Македонска,122021,86kw/117ks,Еуро5,200000
3756,По договор,41.438304,22.004864,Opel,Astra,1997,Дизел,Рачен,Седани,Бела,Македонска,012019,55kw/75ks,,
3757,6€,41.438304,22.004864,Renault,R4,1991,Бензин,Рачен,Maлиградски,Зелена,Македонска,012020,40kw/54ks,Еуро2,80000
3758,1300€,41.924335,22.404964,VWVolkswagen,Golf,1995,Дизел,Рачен,Maлиградски,Црвена,Македонска,052020,65kw/88ks,Еуро4,
3759,2500€,41.924335,22.404964,Opel,Astra,2002,Бензин,Рачен,Кабриолети,Сива,Македонска,012018,109kw/148ks,,190000
3760,2200€,41.924335,22.404964,VWVolkswagen,Polo,2000,Бензин,Рачен,Maлиградски,Сина,Македонска,042020,44kw/60ks,,200000
3761,1500€,41.9870695865131,21.4519291484375,Audi,A6,1994,Бензин/Плин,Рачен,Седани,Црна,Македонска,092019,85kw/116ks,Еуро2,450000
3762,1€,42.132926,21.715878,Ford,Escort,1997,Дизел,Рачен,Каравани,Бела,Македонска,072018,66kw/90ks,Еуро6,30000
3763,4700€,41.14712,22.507161,VWVolkswagen,Passat,2008,Дизел,Рачен,Каравани,Бела,Македонска,082020,103kw/140ks,Еуро4,250000
3764,123€,41.9672284372052,21.550133228302,Citroen,C4,2006,Дизел,Рачен,Хеџбек,Сина,Македонска,012019,66kw/90ks,Еуро4,190000
3765,123€,41.9672443915709,21.5501117706299,BMW,118,2008,Дизел,Рачен,Хеџбек,Сина,Македонска,012019,105kw/143ks,Еуро4,200000
3766,1€,42.0768332158365,22.1770268046875,Seat,Leon,2003,Бензин,Рачен,Хеџбек,Сина,Странска,102019,1kw/1ks,,35000
3767,4200€,41.949632,21.502494,Ford,Fusion,2010,Дизел,Рачен,Теренци-SUV,Црвена,Македонска,112020,50kw/68ks,Еуро4,100000
3768,1690€,41.635743,22.470056,Renault,Kangoo,2001,Бензин,Рачен,Моноволумен,Жолта,Македонска,112020,12kw/16ks,Еуро3,190000
3769,По договор,41.484224,22.089622,Opel,Astra,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,042021,74kw/101ks,Еуро6,190000
3770,3000€,41.51282,20.96083,Citroen,C4,2005,Дизел,Рачен,Купеа,Сина,Македонска,102020,100kw/136ks,Еуро4,170000
3771,850€,41.9870695865131,21.4519291484375,Seat,Ibiza,1999,Бензин/Плин,Рачен,Maлиградски,Сина,Странска,102018,47kw/64ks,,65000
3772,1€,41.9870695865131,21.4519291484375,Seat,Ibiza,2003,Дизел,Рачен,Maлиградски,Жолта,Македонска,042020,47kw/64ks,Останато,25000
3773,5000€,41.745515,22.19396,Mercedes-Benz,270,2003,Дизел,Рачен,Каравани,Црна,Македонска,072020,130kw/177ks,Еуро4,250000
3774,1€,41.9848856086612,21.4692443475049,Citroen,C5,2008,Дизел,Рачен,Седани,Сина,Македонска,122019,101kw/137ks,Еуро4,160000
3775,900€,42.009423,20.971549,VWVolkswagen,Vento,1996,Дизел,Рачен,Седани,Бела,Македонска,082020,88kw/120ks,Еуро2,30000
3776,По договор,41.346182,21.553379,Ford,Fusion,2007,Бензин,Рачен,Хеџбек,Црна,Македонска,052020,59kw/80ks,Еуро4,170000
3777,5300€,41.9870695865131,21.4519291484375,Seat,Leon,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,022021,77kw/105ks,Еуро4,170000
3778,2450€,41.438304,22.004864,VWVolkswagen,Passat,1997,Дизел,Рачен,Седани,Сива,Македонска,072020,81kw/110ks,Еуро3,200000
3779,По договор,41.3501124673993,21.5588936217346,Ford,Fiesta,2005,Бензин,Рачен,Хеџбек,Сива,Македонска,012020,59kw/80ks,,150000
3780,7300€,42.205478,22.333429,VWVolkswagen,Golf,2012,Дизел,Рачен,Хеџбек,Црна,Македонска,012020,77kw/105ks,Еуро5,110000
3781,1400€,41.346182,21.553379,Hyundai,Accent,2000,Бензин/Плин,Рачен,Седани,Сина,Македонска,042021,75kw/102ks,Еуро1,160000
3782,1500€,41.031728,21.329358,VWVolkswagen,Polo,2000,Бензин,Рачен,Седани,Црвена,Македонска,022021,44kw/60ks,Еуро3,100000
3783,2500€,41.967228,20.980786,Fiat,Punto,2004,Бензин/Плин,Рачен,Maлиградски,Црна,Македонска,012021,56kw/76ks,Еуро5,120000
3784,5000€,41.745515,22.19396,VWVolkswagen,Passat,2006,Дизел,Рачен,Каравани,Бела,Македонска,122020,104kw/141ks,Еуро4,250000
3785,3200€,41.9870695865131,21.4519291484375,Fiat,Doblo,2007,Дизел,Рачен,Моноволумен,Сина,Македонска,032021,55kw/75ks,Еуро4,190000
3786,1500€,41.346182,21.553379,Opel,Zafira,1999,Дизел,Рачен,Моноволумен,Бела,Македонска,122020,84kw/114ks,Еуро2,200000
3787,4199€,41.111733,20.798579,Fiat,Bravo,2007,Дизел,Рачен,Хеџбек,Сина,Македонска,092020,88kw/120ks,Еуро4,140000
3788,123€,41.9672284372052,21.550133228302,Citroen,C4,2004,Дизел,Рачен,Хеџбек,Сива,Македонска,032020,66kw/90ks,Еуро4,200000
3789,11500€,41.9870695865131,21.4519291484375,BMW,X1,2011,Дизел,Автоматски,Теренци-SUV,Сива,Македонска,032021,75kw/102ks,Еуро4,200000
3790,1200€,41.9870695865131,21.4519291484375,Opel,Corsa,1995,Бензин/Плин,Рачен,Maлиградски,Сина,Македонска,012021,33kw/45ks,,170000
3791,5400€,41.715954,21.770997,Dacija,Sandero,2015,Бензин/Плин,Рачен,Хеџбек,Бела,Македонска,012021,55kw/75ks,Останато,70000
3792,15000€,41.9870695865131,21.4519291484375,Mercedes-Benz,CLS320,2007,Дизел,Автоматски,Седани,Црна,Македонска,012021,165kw/224ks,Еуро4,200000
3793,4700€,42.052075,21.450415,Seat,Altea,2006,Дизел,Рачен,Хеџбек,Црвена,Македонска,032021,103kw/140ks,Еуро4,200000
3794,3150€,42.205478,22.333429,Audi,A6,2001,Дизел,Рачен,Седани,Сива,Македонска,052020,81kw/110ks,Еуро3,200000
3795,4750€,42.205478,22.333429,VWVolkswagen,GolfPlus,2007,Дизел,Рачен,Хеџбек,Сива,Македонска,012019,77kw/105ks,Еуро4,120000
3796,4800€,41.9870695865131,21.4519291484375,Mercedes-Benz,B180,2007,Дизел,Рачен,Хеџбек,Црна,Македонска,072019,80kw/109ks,Еуро4,200000
3797,1300€,42.132926,21.715878,Opel,Astra,2000,Дизел,Рачен,Хеџбек,Црвена,Македонска,042020,66kw/90ks,Еуро4,200000
3798,500€,41.884235,22.515181,Peugeot,106,1997,Бензин,Рачен,Maлиградски,Сина,Странска,112020,37kw/50ks,Еуро1,150000
3799,8000€,41.111733,20.798579,VWVolkswagen,Golf,2012,Дизел,Рачен,Maлиградски,,Македонска,012021,77kw/105ks,Еуро6,150000
3800,6000€,41.9870695865131,21.4519291484375,Mercedes-Benz,B200,2006,Дизел,Автоматски,Хеџбек,Црна,Македонска,122019,88kw/120ks,,200000
3801,4700€,42.132926,21.715878,Nissan,X-Trail,2006,Дизел,Рачен,Теренци-SUV,Сива,Македонска,062020,100kw/136ks,Еуро4,250000
3802,9200€,41.202685,22.574287,Mercedes-Benz,ML320,2006,Дизел,Автоматски,Теренци-SUV,Сива,Македонска,112020,164kw/223ks,Еуро4,170000
3803,999€,41.924335,22.404964,Peugeot,306,1996,Бензин/Плин,Рачен,Maлиградски,Сива,Македонска,022021,55kw/75ks,Еуро3,250000
3804,5500€,41.931839,21.502835,Seat,Leon,2008,Бензин,Рачен,Хеџбек,Бела,Македонска,102021,92kw/125ks,Еуро4,140000
3805,650€,42.132926,21.715878,Seat,Ibiza,1995,Бензин,Рачен,Хеџбек,Црвена,Македонска,022020,44kw/60ks,Еуро4,190000
3806,4500МКД,41.14712,22.507161,Seat,Toledo,2000,Бензин,Рачен,Седани,Сина,Македонска,102020,77kw/105ks,Еуро5,200000
3807,1€,41.111733,20.798579,BMW,118,2007,Дизел,Рачен,Maлиградски,Црна,Македонска,012020,105kw/143ks,Еуро4,190000
3808,1€,42.00877,21.45126,VWVolkswagen,Golf,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,012021,77kw/105ks,Еуро4,170000
3809,1€,42.00877,21.45126,VWVolkswagen,Touran,2004,Дизел,Рачен,Моноволумен,Сива,Македонска,012021,105kw/143ks,,160000
3810,1€,42.00877,21.45126,BMW,118,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,022019,90kw/122ks,,80000
3811,21000€,41.9870695865131,21.4519291484375,Audi,A8,2011,Дизел,Автоматски,Седани,Црна,Македонска,032020,360kw/489ks,Еуро5,200000
3812,16900€,41.9870695865131,21.4519291484375,Mercedes-Benz,ML320,2009,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,122020,165kw/224ks,,140000
3813,27700€,41.9870695865131,21.4519291484375,Audi,Q7,2015,Дизел,Полуавтоматски,Теренци-SUV,Црна,Македонска,122021,250kw/340ks,,100000
3814,19900€,41.9870695865131,21.4519291484375,Mercedes-Benz,R500,2011,Бензин,Автоматски,Седани,Црна,Македонска,122020,285kw/387ks,,130000
3815,55000€,41.9870695865131,21.4519291484375,Mercedes-Benz,S65AMG,2016,Дизел,Автоматски,Седани,Црна,Македонска,122020,190kw/258ks,,130000
3816,1€,41.9870695865131,21.4519291484375,Audi,A4,2010,Дизел,Рачен,Каравани,Црна,Македонска,112020,132kw/179ks,Еуро6,200000
3817,5200€,42.0033271190842,21.3920194116999,VWVolkswagen,Passat,2005,Дизел,Рачен,Каравани,Црна,Македонска,082019,103kw/140ks,,180000
3818,2999€,41.9870695865131,21.4519291484375,Citroen,C4,2005,Бензин/Плин,Рачен,Хеџбек,Сина,Македонска,082020,44kw/60ks,Еуро4,170000
3819,По договор,41.438304,22.004864,Audi,A3,2004,Дизел,Рачен,Купеа,Сина,Македонска,102020,103kw/140ks,Останато,250000
3820,3500€,41.9870695865131,21.4519291484375,Peugeot,407,2005,Дизел,Рачен,Каравани,Сива,Македонска,042020,80kw/109ks,Еуро4,200000
3821,1€,41.9870695865131,21.4519291484375,Audi,A3,2009,Бензин,Рачен,Хеџбек,Црна,Македонска,112020,1kw/1ks,,180000
3822,По договор,41.484224,22.089622,Opel,Astra,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,042021,74kw/101ks,Еуро4,180000
3823,1€,41.9870695865131,21.4519291484375,Opel,Corsa,2004,Бензин,Рачен,Maлиградски,Сива,Македонска,062018,22kw/30ks,Еуро4,20000
3824,3200€,41.9870695865131,21.4519291484375,VWVolkswagen,Polo,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,062020,55kw/75ks,Еуро5,190000
3825,46500€,41.9870695865131,21.4519291484375,Audi,А7,2015,Дизел,Автоматски,Седани,Црна,Македонска,052021,200kw/272ks,Еуро6,95000
3826,1€,41.865485,21.940845,VWVolkswagen,Passat,1998,Дизел,Рачен,Каравани,Црна,Македонска,012020,81kw/110ks,,300000
3827,800€,41.9870695865131,21.4519291484375,BMW,728,1980,Бензин,Рачен,Седани,Сина,Македонска,012021,55kw/75ks,Еуро1,
3828,3000МКД,41.9870695865131,21.4519291484375,Opel,Corsa,2005,Бензин,Рачен,Maлиградски,Црвена,Македонска,052019,55kw/75ks,Еуро4,20000
3829,3500€,41.745515,22.19396,Opel,Astra,2005,Дизел,Рачен,Хеџбек,Сина,Македонска,112020,75kw/102ks,Еуро4,100000
3830,1€,41.346182,21.553379,Peugeot,307,2003,Дизел,Рачен,Каравани,Зелена,Македонска,022020,86kw/117ks,,200000
3831,4200€,41.635743,22.470056,Hyundai,SantaFe,2006,Дизел,Рачен,Теренци-SUV,Сина,Странска,102020,85kw/116ks,Еуро3,180000
3832,1500€,41.346182,21.553379,Peugeot,Partner,2001,Дизел,Рачен,Каравани,Бела,Македонска,042020,0kw/0ks,Останато,400000
3833,8200€,41.111733,20.798579,Skoda,Octavia,2006,Дизел,Рачен,Седани,Црна,Македонска,072019,105kw/143ks,,160000
3834,1800€,41.9870695865131,21.4519291484375,BMW,525,1997,Дизел,Рачен,Каравани,Црвена,Македонска,122020,105kw/143ks,Еуро3,250000
3835,6000€,42.132926,21.715878,Audi,A3,2006,Дизел,Автоматски,Седани,Црна,Македонска,072020,125kw/170ks,Еуро4,190000
3836,3500€,41.715954,21.770997,VWVolkswagen,Passat,2003,Дизел,Рачен,Седани,Црна,Македонска,092020,96kw/131ks,Еуро3,250000
3837,6500€,41.9870695865131,21.4519291484375,Audi,A4,2005,Дизел,Рачен,Седани,Сива,Македонска,012021,20kw/27ks,Останато,250000
3838,55€,42.009423,20.971549,Audi,A3,2005,Дизел,Рачен,Седани,Сива,Македонска,022020,103kw/140ks,Еуро4,170000
3839,4700€,41.9870695865131,21.4519291484375,VWVolkswagen,Touran,2006,Дизел,Автоматски,Моноволумен,Црна,Македонска,012021,77kw/105ks,Еуро4,200000
3840,5000€,41.202685,22.574287,Mercedes-Benz,E270,2003,Дизел,Автоматски,Седани,Сива,Македонска,012021,130kw/177ks,Еуро4,250000
3841,1€,41.884235,22.515181,Toyota,RAV4,2007,Дизел,Рачен,Теренци-SUV,Сива,Македонска,082020,100kw/136ks,Еуро4,200000
3842,1€,41.884235,22.515181,Toyota,RAV4,2007,Дизел,Рачен,Теренци-SUV,Сива,Македонска,082020,100kw/136ks,Еуро4,200000
3843,5350€,42.205478,22.333429,VWVolkswagen,Golf,2008,Дизел,Рачен,Хеџбек,Сива,Македонска,012018,77kw/105ks,Еуро4,190000
3844,900€,41.9870695865131,21.4519291484375,Opel,Corsa,1998,Бензин/Плин,Рачен,Maлиградски,Сина,Македонска,122020,44kw/60ks,Еуро2,200000
3845,5150€,42.205478,22.333429,Audi,A4,2006,Дизел,Рачен,Каравани,Сива,Македонска,012019,103kw/140ks,Еуро4,190000
3846,3450€,42.205478,22.333429,Peugeot,207,2008,Дизел,Рачен,Хеџбек,Сива,Македонска,012019,55kw/75ks,Еуро4,190000
3847,1€,41.884235,22.515181,Toyota,RAV4,2007,Дизел,Рачен,Теренци-SUV,Сива,Македонска,082020,100kw/136ks,Еуро4,200000
3848,7900€,41.9870695865131,21.4519291484375,Mercedes-Benz,E320,2006,Дизел,Полуавтоматски,Седани,Црна,Македонска,012021,165kw/224ks,Еуро4,250000
3849,5800€,41.14712,22.507161,Kia,Soul,2009,Дизел,Рачен,Седани,Бела,Македонска,012021,94kw/128ks,Еуро4,250000
3850,950€,42.052075,21.450415,Renault,Clio,1997,Бензин/Плин,Рачен,Maлиградски,Бела,Македонска,082020,43kw/58ks,Еуро3,180000
3851,4000МКД,41.0910768324061,21.361198425293,Mercedes-Benz,A170,2012,Дизел,Рачен,Maлиградски,Црна,Македонска,102019,82kw/111ks,,
3852,2050€,41.346182,21.553379,Opel,Corsa,2001,Дизел,Рачен,Останато,Сива,Македонска,052021,55kw/75ks,Еуро3,250000
3853,3000€,42.00877,21.45126,Opel,Meriva,2008,Дизел,Рачен,Хеџбек,Црна,Македонска,032021,74kw/101ks,Останато,200000
3854,2900€,41.173346,20.677493,Fiat,Panda,2004,Бензин,Рачен,Maлиградски,,Македонска,042021,45kw/61ks,Еуро3,130000
3855,2550€,41.373181,21.252891,Audi,A6,1999,Дизел,Рачен,Седани,Сина,Македонска,052021,81kw/110ks,Останато,250000
3856,2990€,42.132926,21.715878,Opel,Corsa,2006,Бензин,Рачен,Maлиградски,Црна,Македонска,122019,59kw/80ks,Еуро4,140000
