,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација
2707,79000,41.949632,21.502494,4.0,107,Централно,4кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,2,Не,Нема,Исток
2708,38000,41.7535390019661,22.1965742159878,3.0,65,Дрва,4кат,ВоЗграда,Стар,Наместен,Не,1Балкон,1,Да,Нема,Југоисток
2709,56000,41.991502,21.39781,2.0,62,Друго,4кат,ВоЗграда,Реновиран,Празен,Не,2Балкони,1,Да,1Гаража,Југ
2710,82000,41.949632,21.502494,3.0,103,Централно,4кат,ВоЗграда,Реновиран,Празен,Да,2Балкони,2,Не,1Паркинг,Исток
2711,55000,41.9870695865131,21.4519291484375,2.0,50,Централно,6кат,ВоЗграда,Воградба,Празен,Да,1Балкон,1,Не,1Паркинг,Запад
2712,68000,41.9746786912517,21.4844512939453,3.0,72,Струја,1кат,ВоЗграда,Стар,Празен,Да,Тераса+1Балкон,1,Да,Нема,Југозапад
2713,63000,41.031728,21.329358,5.0,105,Централно,4кат,ВоЗграда,Реновиран,Празен,Да,3Балкони,2,Да,Гаража+1Паркинг,Северозапад
2714,62000,41.991502,21.39781,2.0,59,Друго,6кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,Нема,Југ
2715,83000,41.9870695865131,21.4519291484375,3.0,91,Централно,Приземје,ВоЗграда,Стар,Празен,Не,1Балкон,2,Да,Нема,Исток
2716,81500,41.991502,21.39781,5.0,70,Централно,Приземје,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Да,1Паркинг,Југозапад
2717,82000,41.991502,21.39781,4.0,75,Централно,5кат,ВоЗграда,Реновиран,Наместен,Да,Тераса+1Балкон,2,Не,1Паркинг,Запад
2718,80000,41.9870695865131,21.4519291484375,4.0,108,Централно,2кат,ВоЗграда,Стар,Празен,Да,2Балкони,2,Не,1Паркинг,Југоисток
2719,66000,41.9870695865131,21.4519291484375,3.0,60,Централно,7кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Североисток
2720,50000,41.989867,21.581912,3.0,70,Централно,2кат,ВоЗграда,Реновиран,Полунаместен,Да,1Балкон,1,Да,1Паркинг,Југоисток
2721,112000,41.991502,21.39781,4.0,95,Централно,10кат,ВоЗграда,Реновиран,Наместен,Да,2Балкони,2,Не,Нема,Југозапад
2722,50000,41.111733,20.798579,4.0,69,Дрва,4кат,ВоЗграда,Стар,Наместен,Не,1Балкон,1,Да,1Паркинг,Југоисток
2723,73500,41.949632,21.502494,3.0,82,Централно,3кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Да,1Паркинг,Исток
2724,64000,41.949632,21.502494,3.0,69,Централно,3кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Не,1Паркинг,Југ
2725,60000,41.9856833035348,21.479666562883,3.0,64,Централно,4кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Да,Нема,Запад
2726,43000,42.009423,20.971549,3.0,54,Струја,2кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Да,1Паркинг,Југозапад
2727,87000,41.949632,21.502494,3.0,81,Централно,Приземје,ВоЗграда,Нов,Наместен,Да,2Балкони,2,Не,Нема,Југ
2728,94300,41.931839,21.502835,4.0,82,Струја,4кат,ВоЗграда,Нов,Наместен,Да,2Балкони,2,Не,Нема,Југ
