,price,make,model,year,fuel,distance_in_km,transmission,type,color,registration,registered_till,HP,standard,KW
2240,По договор,VWVolkswagen,Polo,2005,Бензин,180000,Рачен,Maлиградски,Црна,Македонска,12021,75,Еуро4,55
2248,По договор,VWVolkswagen,Golf,2008,Дизел,190000,Автоматски,Седани,Бела,Македонска,82021,105,Еуро5,77
2264,По договор,Opel,Astra,1999,Бензин,200000,Рачен,Каравани,Сина,Македонска,122021,90,Еуро4,66
2277,По договор,Mercedes-Benz,S320,2008,Дизел,300000,Автоматски,Седани,Црна,Македонска,42022,235,Еуро4,173
2278,По договор,VWVolkswagen,Golf,2005,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,102021,140,Еуро4,103
2282,По договор,BMW,520,2000,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,92021,1,Еуро3,1
2303,По договор,Seat,Leon,2008,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,112021,105,Еуро4,77
2311,По договор,Audi,A4,1997,Дизел,190000,Рачен,Седани,Сина,Македонска,12022,90,Еуро2,66
2317,По договор,Renault,Scenic,2005,Дизел,190000,Рачен,Каравани,Црна,Македонска,82022,131,Еуро4,96
2327,По договор,Renault,Laguna,2001,Дизел,70000,Рачен,Седани,Сива,Македонска,62022,121,Еуро3,89
2351,По договор,Audi,A6,2005,Дизел,250000,Рачен,Седани,Црна,Македонска,12022,140,Еуро4,103
2367,По договор,VWVolkswagen,Golf,1993,Бензин/Плин,5000,Рачен,Хеџбек,Сина,Македонска,92021,75,Останато,55
2374,По договор,VWVolkswagen,Golf,2007,Бензин/Плин,200000,Рачен,Хеџбек,Сива,Македонска,52022,0,Останато,0
2376,По договор,VWVolkswagen,Golf,2005,Дизел,200000,Рачен,Хеџбек,Сина,Македонска,111625,105,Еуро5,77
2389,По договор,VWVolkswagen,Bora,1999,Дизел,200000,Рачен,Седани,Сина,Македонска,12022,90,Еуро3,66
2397,По договор,Nissan,Qashqai,2011,Дизел,190000,Рачен,Теренци-SUV,Бела,Македонска,12020,110,Еуро5,81
2408,По договор,Opel,Astra,2019,Дизел,75000,Автоматски,Седани,Бела,Македонска,52022,136,Еуро6,100
2420,По договор,Opel,Corsa,2008,Дизел,160000,Рачен,Maлиградски,Златна,Македонска,12020,75,Еуро4,55
2446,По договор,Ford,Fiesta,2011,Дизел,130000,Рачен,Maлиградски,Бела,Македонска,62021,75,Еуро5,55
2450,По договор,Fiat,Marea,2002,Дизел,250000,Рачен,Каравани,Сива,Македонска,82018,109,Еуро3,80
2461,По договор,Audi,A3,2015,Дизел,90000,Полуавтоматски,Хеџбек,Златна,Македонска,82021,110,Еуро5,81
2516,По договор,Seat,Ibiza,2009,Дизел,100000,Рачен,Хеџбек,Црна,Македонска,62021,105,Еуро5,77
2523,По договор,VWVolkswagen,Golf,2004,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,72021,105,Еуро4,77
2524,По договор,Mercedes-Benz,ML280,2005,Дизел,200000,Рачен,Теренци-SUV,Сина,Македонска,52020,190,Еуро4,140
