,price,make,model,year,fuel,distance_in_km,transmission,type,color,registration,registered_till,HP,standard,KW
3612,По договор,Peugeot,407,2007,Дизел,250000,Рачен,Каравани,Црна,Македонска,12022,136,Еуро4,100
3616,По договор,Peugeot,107,2007,Бензин,110000,Рачен,Maлиградски,Црвена,Македонска,12021,68,Еуро4,50
3617,По договор,Mercedes-Benz,ML280,2006,Дизел,250000,Автоматски,Теренци-SUV,Црна,Македонска,32022,190,Еуро4,140
3620,По договор,Suzuki,SX4,2006,Бензин,140000,Рачен,Хеџбек,Сива,Македонска,12020,107,Еуро4,79
3621,По договор,Seat,Ibiza,2009,Бензин/Плин,160000,Рачен,Хеџбек,Бела,Македонска,12020,69,Еуро5,51
3622,По договор,Hyundai,i10,2012,Бензин,150000,Рачен,Maлиградски,Црна,Македонска,12020,68,Еуро5,50
3624,По договор,Kia,Cee'd,2008,Бензин/Плин,130000,Рачен,Хеџбек,Сива,Македонска,12020,109,Еуро5,80
3625,По договор,VWVolkswagen,Polo,2009,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,12020,69,Еуро4,51
3626,По договор,Ford,Focus,2009,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,82022,90,Еуро4,66
3629,По договор,Opel,Astra,2005,Бензин,150000,Рачен,Хеџбек,Сива,Македонска,12020,105,Еуро4,77
3630,По договор,Opel,Corsa,2010,Бензин/Плин,150000,Рачен,Хеџбек,Бела,Македонска,12020,80,Еуро5,59
3631,По договор,Opel,Astra,2012,Бензин,110000,Рачен,Хеџбек,Бела,Македонска,12021,101,Еуро5,74
3632,По договор,Ford,Fiesta,2010,Бензин/Плин,170000,Рачен,Хеџбек,Црвена,Македонска,12020,97,Еуро5,71
3633,По договор,VWVolkswagen,Polo,2012,Дизел,170000,Рачен,Maлиградски,Сина,Македонска,12020,75,Еуро5,55
3634,По договор,VWVolkswagen,Passat,2010,Дизел,170000,Рачен,Седани,Сива,Македонска,12020,140,Еуро5,103
3636,По договор,Renault,Clio,2010,Бензин,140000,Рачен,Хеџбек,Црна,Македонска,12021,101,Еуро5,74
3670,По договор,Audi,A4,2008,Дизел,190000,Рачен,Седани,Сива,Македонска,12021,143,Еуро5,105
3679,По договор,Audi,A3,2006,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,72022,140,Еуро4,103
3684,По договор,Fiat,Bravo,1999,Бензин/Плин,170000,Рачен,Хеџбек,Сина,Македонска,62022,82,Еуро3,60
3690,По договор,Citroen,Berlingo,2008,Дизел,200000,Рачен,Останато,Бела,Македонска,12021,75,Еуро4,55
3708,По договор,Audi,A6,2014,Дизел,150000,Автоматски,Седани,Бела,Македонска,102022,204,Еуро5,150
3713,По договор,BMW,525,2002,Дизел,250000,Рачен,Седани,Бела,Македонска,122022,163,Еуро3,120
3719,По договор,Audi,A6,2007,Дизел,200000,Рачен,Седани,Сива,Македонска,42022,1,Еуро4,1
3750,По договор,VWVolkswagen,GolfPlus,2006,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,82022,105,Еуро4,77
3776,По договор,BMW,118,2006,Дизел,200000,Рачен,Хеџбек,Сина,Македонска,22023,122,Еуро5,90
3779,По договор,Nissan,Juke,2016,Бензин,65000,Рачен,Теренци-SUV,Сива,Македонска,52022,116,Останато,85
3784,По договор,Audi,A3,2011,Дизел,170000,Рачен,Хеџбек,Црна,Македонска,72022,105,Еуро5,77
3792,По договор,Mercedes-Benz,C220,2010,Дизел,100000,Рачен,Седани,Црна,Македонска,52021,140,Еуро4,103
3793,По договор,Opel,Astra,2006,Дизел,250000,Рачен,Maлиградски,Сина,Македонска,12023,101,Еуро4,74
3794,По договор,Seat,Ibiza,2005,Бензин,200000,Рачен,Maлиградски,Сива,Македонска,12022,82,Еуро4,60
3797,По договор,Skoda,Fabia,2008,Дизел,250000,Рачен,Каравани,Бела,Македонска,12023,90,Еуро4,66
3800,По договор,Mitsubishi,Colt,2005,Дизел,190000,Рачен,Maлиградски,Црна,Македонска,12023,95,Еуро4,70
3801,По договор,Audi,A6,2012,Дизел,250000,Рачен,Седани,Сива,Македонска,102021,218,Еуро6,160
3802,По договор,Mercedes-Benz,C270,2002,Дизел,300000,Автоматски,Седани,Сива,Македонска,811625,170,Еуро3,125
3803,По договор,Mercedes-Benz,C320,2008,Дизел,250000,Автоматски,Седани,Црна,Македонска,12022,245,Еуро5,180
3806,По договор,Audi,А7,2013,Дизел,250000,Автоматски,Седани,Сива,Македонска,1011625,245,Еуро5,180
3813,По договор,VWVolkswagen,Passat,2017,Дизел,190000,Автоматски,Седани,Бела,Македонска,82022,150,Еуро6,110
3825,По договор,VWVolkswagen,Golf,2015,Дизел,170000,Рачен,Седани,Сива,Македонска,102022,110,Еуро6,81
3838,По договор,Citroen,C4,2010,Дизел,15000,Рачен,Хеџбек,Бела,Македонска,12022,90,Еуро4,66
3849,По договор,Mercedes-Benz,GLE350,2016,Дизел,130000,Автоматски,Хеџбек,Црна,Македонска,12023,258,Еуро6,190
3852,По договор,Audi,Q7,2015,Дизел,190000,Автоматски,Хеџбек,Сива,Македонска,122022,272,Еуро6,200
3853,По договор,Opel,Meriva,2008,Дизел,150000,Рачен,Хеџбек,Црна,Македонска,112020,101,Еуро4,74
3856,По договор,Ford,Fiesta,2007,Дизел,140000,Рачен,Maлиградски,Црна,Македонска,102020,68,Еуро4,50
3857,По договор,Fiat,Punto,2007,Бензин,120000,Рачен,Maлиградски,Црна,Македонска,12022,60,Еуро4,44
3859,По договор,Fiat,GrandePunto,2009,Дизел,160000,Рачен,Maлиградски,Сива,Македонска,122022,69,Еуро4,51
3860,По договор,Opel,Corsa,2008,Бензин,120000,Рачен,Maлиградски,Црна,Македонска,122021,90,Еуро4,66
3861,По договор,BMW,320,2009,Дизел,250000,Автоматски,Хеџбек,Сива,Македонска,12022,163,Еуро5,120
3863,По договор,Opel,Meriva,2008,Дизел,150000,Рачен,Хеџбек,Сина,Македонска,122021,75,Еуро4,55
3865,По договор,AlfaRomeo,Alfa147,2004,Бензин/Плин,120000,Рачен,Хеџбек,Сива,Македонска,52022,117,Еуро4,86
3866,По договор,Opel,Astra,2010,Дизел,150000,Рачен,Хеџбек,Бела,Македонска,32022,110,Еуро5,81
3882,По договор,Opel,Astra,2015,Дизел,140000,Рачен,Каравани,Бела,Македонска,12020,136,Еуро6,100
3883,По договор,Hyundai,i30,2009,Бензин/Плин,170000,Рачен,Хеџбек,Сива,Македонска,12020,109,Еуро5,80
3884,По договор,Ford,Focus,2006,Дизел,200000,Рачен,Каравани,Сина,Македонска,122021,116,Еуро4,85
3885,По договор,Opel,Astra,2009,Бензин,180000,Рачен,Хеџбек,Сива,Македонска,12020,116,Еуро4,85
3886,По договор,Opel,Corsa,2007,Бензин,180000,Рачен,Хеџбек,Сива,Македонска,12020,90,Еуро4,66
3893,По договор,Audi,A3,2005,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,12020,105,Еуро4,77
3928,По договор,Chevrolet,Lacetti,2007,Дизел,130000,Рачен,Хеџбек,Црвена,Македонска,82022,121,Еуро5,89
3933,По договор,Hyundai,Elantra,1995,Бензин/Плин,5000,Рачен,Седани,Црвена,Македонска,112021,125,Еуро2,92
3945,По договор,Seat,AlteaXL,2012,Дизел,180000,Рачен,Моноволумен,Бела,Македонска,12020,105,Еуро5,77
3969,По договор,VWVolkswagen,Golf,2005,Дизел,170000,Рачен,Хеџбек,Црна,Македонска,12023,105,Еуро4,77
3974,По договор,Porsche,Cayenne,2011,Дизел,190000,Автоматски,Теренци-SUV,Црна,Македонска,22023,239,Еуро5,176
3991,По договор,BMW,X5,2003,Дизел,250000,Автоматски,Теренци-SUV,Сива,Странска,72021,250,Еуро3,184
3996,По договор,LandRover,RangeRoverEvoque,2013,Дизел,5000,Автоматски,Теренци-SUV,Сина,Македонска,511625,245,Еуро5,180
4002,По договор,Renault,R5,1997,Бензин,250000,Рачен,Maлиградски,Зелена,Странска,12021,82,Останато,60
4006,По договор,Audi,A3,2006,Дизел,190000,Рачен,Хеџбек,Сина,Македонска,122021,105,Еуро4,77
4008,По договор,Audi,A3,2007,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,122021,105,Еуро4,77
4011,По договор,Renault,Kangoo,2011,Дизел,200000,Рачен,Останато,Бела,Македонска,42022,68,Еуро5,50
4013,По договор,Mazda,2,2008,Дизел,170000,Рачен,Хеџбек,Црна,Македонска,122021,68,Еуро4,50
4035,По договор,BMW,320,2009,Бензин,200000,Рачен,Седани,Сива,Македонска,102022,150,Еуро4,110
4040,По договор,Citroen,C4,2016,Дизел,140000,Рачен,Теренци-SUV,Црна,Македонска,12022,114,Еуро6,84
4041,По договор,Chrysler,Voyager,2002,Дизел,250000,Рачен,Моноволумен,Сина,Македонска,92022,143,Еуро4,105
4044,По договор,Opel,Kadett,1980,Бензин,75000,Рачен,Останато,Зелена,Македонска,12021,54,Еуро1,40
4046,По договор,Citroen,C5,2006,Дизел,250000,Рачен,Седани,Златна,Македонска,62022,109,Еуро4,80
4065,По договор,VWVolkswagen,Golf,2004,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,62022,105,Еуро4,77
4066,По договор,VWVolkswagen,Golf,2004,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,72022,105,Еуро4,77
4076,По договор,Renault,Megane,2005,Дизел,120000,Рачен,Седани,Сива,Македонска,62021,120,Еуро4,88
4089,По договор,Seat,Ibiza,2006,Дизел,170000,Рачен,Хеџбек,Сина,Странска,122021,80,Еуро4,59
4094,По договор,Audi,A6,2011,Дизел,200000,Рачен,Каравани,Црна,Македонска,12023,177,Еуро5,130
4100,По договор,Audi,А7,2011,Дизел,200000,Автоматски,Хеџбек,Црна,Македонска,22023,245,Еуро5,180
4101,По договор,BMW,318,2002,Бензин/Плин,170000,Рачен,Купеа,Црна,Македонска,42022,118,Еуро3,87
4105,По договор,Peugeot,309,1992,Бензин/Плин,250000,Рачен,Седани,Сива,Македонска,92019,75,Останато,55
4107,По договор,VWVolkswagen,Golf,2004,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,12023,105,Еуро4,77
4108,По договор,Audi,A5,2010,Дизел,190000,Автоматски,Седани,Сива,Македонска,22023,140,Еуро5,103
4109,По договор,VWVolkswagen,Golf,2007,Дизел,200000,Автоматски,Хеџбек,Црна,Македонска,12023,170,Еуро4,125
4112,По договор,VWVolkswagen,Golf,2013,Дизел,140000,Рачен,Хеџбек,Црвена,Македонска,12023,150,Еуро5,110
4116,По договор,Audi,A3,2016,Дизел,200000,Полуавтоматски,Хеџбек,Црна,Македонска,52022,110,Еуро5,81
4119,По договор,VWVolkswagen,Golf,2003,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,12023,140,Еуро4,103
4120,По договор,Ford,Fiesta,2008,Дизел,110000,Автоматски,Maлиградски,Сина,Странска,12022,68,Еуро4,50
4122,По договор,Seat,Altea,2007,Дизел,200000,Рачен,Каравани,Сива,Странска,12022,105,Еуро4,77
4123,По договор,VWVolkswagen,Golf,2007,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,12023,170,Еуро4,125
4133,По договор,VWVolkswagen,Golf,2010,Дизел,180000,Рачен,Хеџбек,Бела,Странска,12022,105,Еуро4,77
4138,По договор,VWVolkswagen,Polo,2007,Дизел,190000,Рачен,Maлиградски,Сива,Македонска,12023,69,Еуро4,51
4140,По договор,BMW,520,2011,Дизел,200000,Автоматски,Седани,Црна,Македонска,62022,184,Еуро5,135
4157,По договор,VWVolkswagen,Golf,2010,Дизел,200000,Автоматски,Каравани,Црна,Македонска,72022,105,Еуро5,77
4185,По договор,Opel,Corsa,2016,Бензин/Плин,90000,Рачен,Хеџбек,Бела,Македонска,42022,82,Еуро6,60
4207,По договор,VWVolkswagen,Golf,2004,Дизел,200000,Рачен,Хеџбек,Црна,Македонска,72022,105,Еуро4,77
4210,По договор,Seat,Altea,2005,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,62022,105,Еуро4,77
4212,По договор,Citroen,DS5,2013,Дизел,140000,Автоматски,Хеџбек,Црна,Македонска,12022,163,Еуро5,120
4213,По договор,VWVolkswagen,Passat,2007,Дизел,20000,Рачен,Каравани,Сива,Македонска,82022,102,Еуро4,75
4221,По договор,Fiat,Multipla,2000,Дизел,190000,Рачен,Моноволумен,Златна,Македонска,42022,105,Еуро4,77
4254,По договор,Opel,Omega,2000,Бензин/Плин,250000,Автоматски,Каравани,Црвена,Македонска,92022,177,Еуро4,130
4255,По договор,Mercedes-Benz,C220,2001,Дизел,200000,Автоматски,Седани,Зелена,Македонска,12022,140,Еуро3,103
4279,По договор,Hyundai,Terracan,2003,Дизел,250000,Автоматски,Теренци-SUV,Црна,Македонска,12023,150,Еуро4,110
4296,По договор,Renault,Laguna,2004,Бензин,170000,Рачен,Седани,Сива,Македонска,52022,135,Еуро3,99
4323,По договор,Seat,Leon,2014,Дизел,160000,Рачен,Хеџбек,Сива,Македонска,12022,105,Еуро5,77
4326,По договор,Mercedes-Benz,C220,2008,Дизел,190000,Автоматски,Седани,Сива,Македонска,12023,170,Еуро4,125
4327,По договор,Mercedes-Benz,C200,2008,Дизел,190000,Рачен,Седани,Црна,Македонска,92022,136,Еуро4,100
4354,По договор,VWVolkswagen,Passat,2008,Дизел,250000,Рачен,Седани,Црна,Македонска,62021,170,Еуро6,125
4382,По договор,BMW,116,2014,Дизел,160000,Рачен,Хеџбек,Бела,Македонска,22022,116,Еуро6,85
4384,По договор,Seat,Leon,2011,Дизел,190000,Рачен,Хеџбек,Црвена,Македонска,122021,105,Еуро5,77
4386,По договор,Mercedes-Benz,C220,1999,Дизел,250000,Рачен,Седани,Сива,Македонска,42022,125,Еуро3,92
4387,По договор,Opel,Astra,2013,Дизел,200000,Рачен,Каравани,Сина,Македонска,122021,110,Еуро5,81
4404,По договор,Peugeot,106,1997,Бензин,150000,Рачен,Maлиградски,Бела,Македонска,82023,68,Еуро2,50
4469,По договор,Yugo,55,1999,Бензин,190000,Рачен,Maлиградски,Црвена,Македонска,12020,54,Еуро1,40
4472,По договор,Mercedes-Benz,C200,2006,Дизел,200000,Рачен,Седани,Црна,Македонска,112022,122,Еуро4,90
4473,По договор,Yugo,45,1993,Бензин,100000,Рачен,Maлиградски,Црвена,Македонска,62020,60,Еуро1,44
4529,По договор,Seat,Altea,2005,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,12022,140,Еуро4,103
4544,По договор,Honda,CR-V,2010,Дизел,200000,Рачен,Теренци-SUV,Бела,Македонска,62022,140,Еуро5,103
4569,По договор,Renault,Scenic,2007,Дизел,180000,Рачен,Моноволумен,Сива,Македонска,52022,150,Еуро5,110
4575,По договор,BMW,330,2001,Дизел,200000,Рачен,Седани,Жолта,Македонска,122023,184,Еуро3,135
4601,По договор,BMW,525,2012,Дизел,190000,Автоматски,Седани,Сина,Македонска,122022,204,Еуро5,150
4629,По договор,BMW,118,2008,Дизел,250000,Рачен,Хеџбек,Црна,Македонска,122022,143,Еуро4,105
4650,По договор,VWVolkswagen,Golf,2005,Дизел,300000,Рачен,Теренци-SUV,Црвена,Македонска,102022,141,Еуро4,104
4668,По договор,Mercedes-Benz,C220,2009,Дизел,250000,Автоматски,Каравани,Сива,Македонска,72022,170,Еуро4,125
4687,По договор,VWVolkswagen,Golf,2010,Дизел,200000,Рачен,Седани,Црна,Македонска,22022,110,Еуро5,81
4721,По договор,VWVolkswagen,Jetta,2008,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,72023,105,Еуро4,77
4731,По договор,Seat,Ibiza,2012,Дизел,160000,Рачен,Maлиградски,Сива,Македонска,12021,75,Еуро5,55
4732,По договор,Opel,Agila,2009,Дизел,150000,Рачен,Maлиградски,Бела,Македонска,12022,75,Еуро4,55
4735,По договор,Ford,Fiesta,2009,Дизел,190000,Рачен,Maлиградски,Црвена,Македонска,12022,90,Еуро4,66
4736,По договор,Fiat,Multipla,2000,Дизел,190000,Рачен,Хеџбек,Златна,Македонска,42022,105,Еуро4,77
4743,По договор,Audi,A3,2006,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,122021,105,Еуро4,77
4776,По договор,Peugeot,207,2009,Бензин,130000,Рачен,Кабриолети,Црна,Македонска,92022,120,Еуро5,88
4780,По договор,Mercedes-Benz,S350,2016,Дизел,190000,Автоматски,Седани,Сива,Македонска,122022,258,Еуро6,190
4784,По договор,BMW,116,2010,Дизел,170000,Рачен,Хеџбек,Бела,Македонска,122022,116,Еуро5,85
4791,По договор,Opel,Astra,2010,Дизел,150000,Рачен,Хеџбек,Бела,Македонска,32022,110,Еуро5,81
4812,По договор,Mitsubishi,Pajero,1996,Дизел,25000,Рачен,Теренци-SUV,Сива,Странска,62022,136,Еуро3,100
4813,По договор,Mercedes-Benz,Viano,2007,Дизел,250000,Автоматски,Моноволумен,Црна,Македонска,82022,204,Еуро4,150
4815,По договор,Honda,CR-V,2005,Дизел,200000,Рачен,Теренци-SUV,Црна,Македонска,22021,140,Еуро4,103
4816,По договор,Honda,CR-Z,2011,Хибрид,150000,Рачен,Купеа,Бела,Македонска,112022,114,Еуро5,84
4859,По договор,BMW,320,2015,Дизел,190000,Автоматски,Седани,Бела,Македонска,82022,184,Еуро6,135
4860,По договор,AlfaRomeo,Giulietta,2012,Дизел,100000,Рачен,Хеџбек,Бела,Македонска,122022,140,Еуро5,103
4865,По договор,BMW,118,2005,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,62022,122,Еуро4,90
4872,По договор,Opel,Corsa,2007,Бензин,190000,Рачен,Maлиградски,Сива,Македонска,52022,80,Еуро4,59
4877,По договор,Ford,Fusion,2005,Дизел,120000,Рачен,Хеџбек,Сива,Македонска,112022,68,Еуро4,50
4881,По договор,Audi,A3,2006,Дизел,190000,Рачен,Хеџбек,Жолта,Македонска,112022,105,Еуро4,77
4913,По договор,VWVolkswagen,Tiguan,2008,Дизел,150000,Рачен,Теренци-SUV,Сива,Македонска,122022,140,Еуро5,103
4953,По договор,Daewoo,Matiz,2007,Бензин,100000,Рачен,Хеџбек,Сива,Македонска,22022,50,Еуро3,37
4978,По договор,Ford,Fiesta,2008,Дизел,140000,Рачен,Maлиградски,Црна,Македонска,122022,68,Еуро4,50
4979,По договор,Renault,Clio,2011,Дизел,170000,Рачен,Maлиградски,Црна,Македонска,122022,86,Еуро4,63
4980,По договор,Opel,Corsa,2009,Дизел,150000,Рачен,Хеџбек,Златна,Македонска,102020,90,Еуро4,66
4984,По договор,BMW,320,2006,Дизел,170000,Рачен,Седани,Сива,Македонска,112022,163,Еуро4,120
4991,По договор,Nissan,Note,2009,Дизел,150000,Рачен,Хеџбек,Црна,Македонска,122022,86,Еуро4,63
5001,По договор,VWVolkswagen,Golf,2007,Дизел,190000,Рачен,Maлиградски,Црна,Македонска,82022,12,Еуро2,9
5019,По договор,Opel,Combo,2012,Дизел,180000,Рачен,Моноволумен,Бела,Македонска,72022,105,Еуро5,77
5024,По договор,Opel,Zafira,2002,Бензин/Плин,250000,Рачен,Хеџбек,Сина,Македонска,72022,125,Еуро4,92
5030,По договор,Skoda,Octavia,2014,Дизел,200000,Автоматски,Седани,Сина,Македонска,102022,150,Еуро5,110
5047,По договор,VWVolkswagen,GolfPlus,2009,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,12022,140,Еуро5,103
5050,По договор,Audi,A3,2009,Дизел,160000,Рачен,Хеџбек,Црна,Македонска,122021,105,Еуро5,77
5052,По договор,Yugo,55,1989,Бензин/Плин,70000,Рачен,Maлиградски,Црвена,Македонска,122022,34,Еуро1,25
5069,По договор,Toyota,RAV4,2006,Дизел,200000,Рачен,Теренци-SUV,Сина,Македонска,102022,1,Еуро4,1
5122,По договор,Jeep,Willys,1980,Дизел,30000,Рачен,Теренци-SUV,Зелена,Македонска,62022,68,Еуро1,50
5159,По договор,Mini,ONE,2006,Бензин,200000,Рачен,Maлиградски,Црна,Македонска,122021,90,Еуро4,66
5167,По договор,Renault,Clio,2008,Дизел,200000,Рачен,Maлиградски,Сива,Македонска,12022,86,Еуро5,63
5173,По договор,Peugeot,307,2008,Дизел,180000,Рачен,Хеџбек,Бела,Македонска,12023,90,Останато,66
5197,По договор,Opel,Corsa,2007,Бензин,150000,Рачен,Maлиградски,Црна,Македонска,12021,75,Еуро4,55
5203,По договор,VWVolkswagen,Polo,2006,Бензин,180000,Рачен,Maлиградски,Црна,Македонска,12021,64,Еуро4,47
5217,По договор,Suzuki,Swift,2007,Бензин,140000,Рачен,Maлиградски,Црна,Македонска,112021,91,Еуро4,67
5219,По договор,Mazda,6,2002,Дизел,180000,Рачен,Седани,Сива,Македонска,102022,136,Еуро3,100
5253,По договор,VWVolkswagen,Golf,2001,Дизел,250000,Рачен,Maлиградски,Сина,Македонска,112021,90,Еуро3,66
5258,По договор,VWVolkswagen,Golf,2010,Дизел,190000,Рачен,Maлиградски,Златна,Македонска,82022,102,Еуро5,75
5282,По договор,Opel,Astra,1999,Бензин/Плин,200000,Рачен,Каравани,Сива,Македонска,62022,116,Еуро3,85
5294,По договор,LandRover,RangeRover,2007,Дизел,200000,Автоматски,Останато,Црна,Македонска,122022,190,Еуро4,140
5324,По договор,Daihatsu,Sirion,2008,Бензин,160000,Рачен,Maлиградски,Црна,Странска,12022,73,Еуро4,54
5326,По договор,BMW,730,2012,Дизел,200000,Автоматски,Седани,Сина,Македонска,122022,245,Еуро5,180
5328,По договор,Ford,Focus,2000,Бензин,190000,Рачен,Хеџбек,Сива,Македонска,62022,75,Еуро3,55
5345,По договор,Ford,FocusC-Max,2004,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,122019,3,Еуро3,2
5348,По договор,Opel,Astra,1994,Бензин/Плин,190000,Рачен,Седани,Бела,Македонска,82022,56,Останато,41
5353,По договор,VWVolkswagen,CC,2011,Дизел,200000,Автоматски,Седани,Бела,Македонска,511625,170,Еуро5,125
5355,По договор,Mercedes-Benz,E200,1996,Бензин/Плин,25000,Рачен,Седани,Црна,Македонска,12022,136,Еуро3,100
5365,По договор,Fiat,Stilo,2005,Дизел,250000,Рачен,Каравани,Црна,Македонска,52021,110,Еуро4,81
5373,По договор,Peugeot,307,2006,Дизел,200000,Рачен,Кабриолети,Црвена,Македонска,52021,185,Еуро4,136
5393,По договор,Opel,Zafira,2007,Дизел,250000,Рачен,Каравани,Сина,Македонска,32022,101,Еуро4,74
5400,По договор,Audi,A3,2008,Дизел,190000,Рачен,Седани,Сива,Македонска,92022,105,Еуро5,77
5401,По договор,Opel,Corsa,2008,Дизел,160000,Рачен,Maлиградски,Жолта,Македонска,122022,90,Еуро4,66
5404,По договор,Opel,Meriva,2008,Дизел,140000,Рачен,Хеџбек,Црна,Македонска,122020,101,Еуро4,74
5405,По договор,Nissan,Note,2009,Дизел,150000,Рачен,Хеџбек,Црна,Македонска,112022,86,Еуро4,63
5406,По договор,Ford,Fiesta,2008,Дизел,150000,Рачен,Maлиградски,Сива,Македонска,122020,68,Еуро4,50
5408,По договор,Opel,Zafira,2010,Дизел,160000,Рачен,Моноволумен,Сива,Македонска,122021,110,Еуро5,81
5409,По договор,VWVolkswagen,Passat,2008,Дизел,150000,Рачен,Каравани,Црна,Македонска,112020,105,Еуро5,77
5413,По договор,Opel,Corsa,2008,Бензин,170000,Рачен,Maлиградски,Црна,Македонска,122021,90,Еуро4,66
5414,По договор,Renault,Clio,2011,Дизел,120000,Рачен,Maлиградски,Црна,Македонска,122022,86,Еуро5,63
5418,По договор,Audi,A5,2010,Дизел,200000,Автоматски,Хеџбек,Сива,Македонска,12022,239,Еуро5,176
5427,По договор,Honda,Civic,2007,Дизел,170000,Рачен,Седани,Црна,Македонска,102022,140,Еуро4,103
5429,По договор,Fiat,Punto,2010,Дизел,190000,Рачен,Maлиградски,Сива,Странска,12021,69,Еуро4,51
5436,По договор,Peugeot,307,2006,Дизел,350000,Рачен,Каравани,Црна,Странска,92022,109,Еуро4,80
5487,По договор,Mercedes-Benz,E350,2010,Дизел,200000,Автоматски,Седани,Сива,Македонска,22022,231,Еуро5,170
5494,По договор,Citroen,C4,2007,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,12020,90,Еуро4,66
5497,По договор,Fiat,Punto,2005,Дизел,180000,Рачен,Хеџбек,Бела,Македонска,12021,75,Еуро4,55
5498,По договор,Opel,Agila,2009,Дизел,190000,Рачен,Хеџбек,Црвена,Македонска,12020,75,Еуро4,55
5500,По договор,Fiat,GrandePunto,2007,Дизел,180000,Рачен,Хеџбек,Сива,Македонска,12020,90,Еуро4,66
5501,По договор,VWVolkswagen,Polo,2007,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,12020,75,Еуро4,55
5503,По договор,Citroen,C4,2005,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,12020,109,Еуро4,80
5504,По договор,Opel,Agila,2007,Бензин,110000,Рачен,Maлиградски,Сива,Македонска,12020,75,Еуро4,55
5507,По договор,Fiat,GrandePunto,2007,Бензин,190000,Рачен,Хеџбек,Црвена,Македонска,32022,120,Еуро4,88
5508,По договор,Smart,ForFour,2005,Бензин,130000,Рачен,Хеџбек,Црна,Македонска,12020,90,Еуро4,66
5512,По договор,Ford,C-Max,2007,Дизел,190000,Рачен,Моноволумен,Сина,Македонска,112022,116,Еуро5,85
5513,По договор,Mercedes-Benz,C200,2008,Дизел,190000,Рачен,Седани,Сива,Македонска,102020,136,Еуро4,100
5518,По договор,Audi,A3,2005,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,102022,141,Еуро4,104
5520,По договор,Citroen,C3,2010,Бензин,190000,Рачен,Хеџбек,Црна,Македонска,12020,68,Еуро5,50
5558,По договор,Peugeot,1007,2005,Бензин,150000,Автоматски,Maлиградски,Златна,Македонска,72022,109,Еуро4,80
5559,По договор,Opel,Agila,2008,Бензин,150000,Рачен,Maлиградски,Сива,Македонска,112022,86,Еуро4,63
5564,По договор,VWVolkswagen,Golf,1990,Дизел,250000,Рачен,Maлиградски,Бела,Македонска,12021,60,Еуро1,44
5585,По договор,Nissan,Qashqai,2011,Дизел,170000,Автоматски,Теренци-SUV,Црна,Странска,12022,150,Еуро5,110
5591,По договор,Mercedes-Benz,GLK220,2010,Дизел,200000,Рачен,Теренци-SUV,Сива,Македонска,122022,170,Еуро5,125
5600,По договор,Audi,A5,2013,Дизел,190000,Автоматски,Седани,Златна,Македонска,52022,245,Еуро5,180
5611,По договор,VWVolkswagen,Caddy,2010,Дизел,200000,Рачен,Хеџбек,Бела,Македонска,122023,105,Еуро5,77
5612,По договор,Smart,ForTwo,2006,Бензин,180000,Полуавтоматски,Maлиградски,Црна,Македонска,122022,61,Еуро4,45
5618,По договор,Opel,Zafira,2006,Дизел,200000,Рачен,Моноволумен,Сива,Македонска,72022,116,Еуро4,85
5619,По договор,Renault,Scenic,2004,Дизел,190000,Рачен,Моноволумен,Сива,Македонска,42022,120,Еуро4,88
5641,По договор,Mercedes-Benz,E250,2011,Дизел,200000,Автоматски,Седани,Сива,Македонска,122022,204,Еуро4,150
5655,По договор,Opel,Zafira,2000,Бензин/Плин,300000,Рачен,Моноволумен,Сина,Македонска,72021,101,Еуро3,74
5670,По договор,Audi,TT,2016,Дизел,190000,Рачен,Купеа,Сива,Македонска,102021,184,Еуро6,135
5671,По договор,Porsche,Cayenne,2015,Дизел,200000,Автоматски,Теренци-SUV,Сива,Македонска,122022,252,Еуро5,185
5672,По договор,Fiat,Bravo,2008,Дизел,160000,Рачен,Седани,Сина,Македонска,122022,120,Еуро6,88
5677,По договор,Suzuki,Splash,2008,Бензин,180000,Рачен,Седани,Црна,Македонска,122022,82,Еуро4,60
5680,По договор,Skoda,Forman,1994,Бензин,75000,Рачен,Каравани,Црвена,Македонска,92021,58,Еуро1,43
